"Perioden";"Voertuigtype";"Onderwerp";"";""
"2000";"Totaal bedrijfsvoertuigen";"||Totaal";"aantal";"883627"
"2000";"Totaal bedrijfsvoertuigen";"Benzine";"aantal";"90068"
"2000";"Totaal bedrijfsvoertuigen";"Diesel";"aantal";"769277"
"2000";"Totaal bedrijfsvoertuigen";"LPG";"aantal";"23685"
"2000";"Totaal bedrijfsvoertuigen";"Elektriciteit";"aantal";"81"
"2000";"Totaal bedrijfsvoertuigen";"CNG";"aantal";"514"
"2000";"Totaal bedrijfsvoertuigen";"Geen/overige/onbekende brandstof";"aantal";"2"
"2000";"Totaal bedrijfsvoertuigen";"||Totaal";"aantal";"883627"
"2000";"Totaal bedrijfsvoertuigen";"< 500 kg";"aantal";"181"
"2000";"Totaal bedrijfsvoertuigen";"500 - 999 kg";"aantal";"101463"
"2000";"Totaal bedrijfsvoertuigen";"1000 - 1499 kg";"aantal";"248929"
"2000";"Totaal bedrijfsvoertuigen";"1500 - 1999 kg";"aantal";"297277"
"2000";"Totaal bedrijfsvoertuigen";"2000 - 2499 kg";"aantal";"44884"
"2000";"Totaal bedrijfsvoertuigen";"2500 - 2999 kg";"aantal";"22382"
"2000";"Totaal bedrijfsvoertuigen";"3000 - 3499 kg";"aantal";"9096"
"2000";"Totaal bedrijfsvoertuigen";"3500 - 3999 kg";"aantal";"3850"
"2000";"Totaal bedrijfsvoertuigen";"4000 - 4499 kg";"aantal";"4521"
"2000";"Totaal bedrijfsvoertuigen";"4500 - 4999 kg";"aantal";"5132"
"2000";"Totaal bedrijfsvoertuigen";"5000 - 5499 kg";"aantal";"5121"
"2000";"Totaal bedrijfsvoertuigen";"5500 - 5999 kg";"aantal";"5957"
"2000";"Totaal bedrijfsvoertuigen";"6000 - 6499 kg";"aantal";"9103"
"2000";"Totaal bedrijfsvoertuigen";"6500 - 6999 kg";"aantal";"21288"
"2000";"Totaal bedrijfsvoertuigen";"7000 - 7499 kg";"aantal";"26724"
"2000";"Totaal bedrijfsvoertuigen";"7500 - 7999 kg";"aantal";"9650"
"2000";"Totaal bedrijfsvoertuigen";"8000 - 8499 kg";"aantal";"7565"
"2000";"Totaal bedrijfsvoertuigen";"8500 - 8999 kg";"aantal";"7011"
"2000";"Totaal bedrijfsvoertuigen";"9000 - 9499 kg";"aantal";"6028"
"2000";"Totaal bedrijfsvoertuigen";"9500 - 9999 kg";"aantal";"5808"
"2000";"Totaal bedrijfsvoertuigen";"10 000 - 10 499 kg";"aantal";"5630"
"2000";"Totaal bedrijfsvoertuigen";"10 500 - 10 999 kg";"aantal";"5700"
"2000";"Totaal bedrijfsvoertuigen";"11 000 - 11 499 kg";"aantal";"5103"
"2000";"Totaal bedrijfsvoertuigen";"11 500 - 11 999 kg";"aantal";"3508"
"2000";"Totaal bedrijfsvoertuigen";"12 000 - 12 499 kg";"aantal";"3546"
"2000";"Totaal bedrijfsvoertuigen";"12 500 - 12 999 kg";"aantal";"3182"
"2000";"Totaal bedrijfsvoertuigen";"13 000 - 13 499 kg";"aantal";"2726"
"2000";"Totaal bedrijfsvoertuigen";"13 500 - 13 999 kg";"aantal";"1893"
"2000";"Totaal bedrijfsvoertuigen";"14 000 - 14 499 kg";"aantal";"1361"
