"Perioden";"Brandstofsoort";"Bouwjaarklasse";"Onderwerp";"";""
"2007";"Totaal";"Totaal alle bouwjaren";"Voertuigen met bromfietskenteken";"aantal";"711792"
"2007";"Totaal";"Totaal alle bouwjaren";"Snorfiets";"aantal";"304816"
"2007";"Totaal";"Totaal alle bouwjaren";"Bromfiets";"aantal";"385930"
"2007";"Totaal";"Totaal alle bouwjaren";"Brommobiel";"aantal";"15740"
"2007";"Totaal";"Totaal alle bouwjaren";"Overige voertuigen met bromfietskenteken";"aantal";"5306"
"2007";"Totaal";"Bouwjaar 2018";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2018";"Snorfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2018";"Bromfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2018";"Brommobiel";"aantal";""
"2007";"Totaal";"Bouwjaar 2018";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2017";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2017";"Snorfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2017";"Bromfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2017";"Brommobiel";"aantal";""
"2007";"Totaal";"Bouwjaar 2017";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2016";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2016";"Snorfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2016";"Bromfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2016";"Brommobiel";"aantal";""
"2007";"Totaal";"Bouwjaar 2016";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2015";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2015";"Snorfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2015";"Bromfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2015";"Brommobiel";"aantal";""
"2007";"Totaal";"Bouwjaar 2015";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2014";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2014";"Snorfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2014";"Bromfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2014";"Brommobiel";"aantal";""
"2007";"Totaal";"Bouwjaar 2014";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2013";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2013";"Snorfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2013";"Bromfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2013";"Brommobiel";"aantal";""
"2007";"Totaal";"Bouwjaar 2013";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2012";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Totaal";"Bouwjaar 2012";"Snorfiets";"aantal";""
"2007";"Totaal";"Bouwjaar 2012";"Bromfiets";"aantal";""
