"TIME";"GEO";"VESSEL";"UNIT";"WEIGHT";"Value";"Flag and Footnotes"
"1998";"Netherlands";"Self-propelled barge";"Number";"Total";"4 369";""
"1998";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"1998";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"1998";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"45";""
"1998";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"3 902";""
"1998";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"1998";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"1998";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"150";""
"1998";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"3 020";""
"1998";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"1998";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"1998";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"97";""
"1998";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"2 064";""
"1998";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"1998";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"1998";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"364";""
"1999";"Netherlands";"Self-propelled barge";"Number";"Total";"4 413";""
"1999";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"1999";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"1999";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"51";""
"1999";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"4 046";""
"1999";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"1999";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"1999";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"171";""
"1999";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"2 913";""
"1999";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"1999";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"1999";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"100";""
"1999";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"2 043";""
"1999";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"1999";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"1999";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"376";""
"2000";"Netherlands";"Self-propelled barge";"Number";"Total";"4 480";""
"2000";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2000";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2000";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"55";""
"2000";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"4 090";""
"2000";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2000";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2000";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"185";""
"2000";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"2 862";""
"2000";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2000";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2000";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"92";""
"2000";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";"1 994";""
"2000";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2000";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2000";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"343";""
"2001";"Netherlands";"Self-propelled barge";"Number";"Total";"4 171";""
"2001";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2001";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2001";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";"73";""
"2001";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";"4 061";""
"2001";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2001";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2001";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";"246";""
"2001";"Netherlands";"Dumb and pushed vessel";"Number";"Total";"3 170";""
"2001";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2001";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2001";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";"98";""
"2001";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2001";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2001";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2001";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"373";""
"2002";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2002";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2002";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2002";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2002";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
