Vtype;Waarde;Eenheid
Straalmotoren 2-motorig;57103.5541667;kg
Straalmotoren 4-motorig;183500.0000000;kg
Zuigermotoren 1-motorig;644.3248144;kg
Ballonvaartuigen;590.8490799;kg
Zweefvliegtuigen geen motor;262.1579654;kg
Schroefturbinemotoren 2-motorig;5595.9375000;kg
Hefschroefvliegtuigen 2-motorig;2215.1388889;kg
Straalmotoren 3-motorig;12010.0000000;kg
Zuigermotoren 2-motorig;1686.3788333;kg
Ultra Lights MLA;118.0496084;kg
Schroefturbinemotoren 1-motorig;2177.1680000;kg
Zweefvliegtuigen 1-motorig;355.1743119;kg
Hefschroefvliegtuigen 1-motorig;690.4692308;kg
Ultra Lights VLA;391.7777778;kg
Drone;2.2250610;kg
