"Perioden";"Onderwerp";"Eenheid";"Waarde"
"1961";"Totale luchtvloot";"aantal";"."
"1961";"Totaal vleugelvliegtuigen";"aantal";"."
"1961";"||Totaal straalmotoren";"aantal";"11"
"1961";"||4-motorig";"aantal";"11"
"1961";"||3-motorig";"aantal";"0"
"1961";"||2-motorig";"aantal";"0"
"1961";"||1-motorig";"aantal";"0"
"1961";"|||Totaal schroefturbinemotoren";"aantal";"24"
"1961";"||4-motorig";"aantal";"20"
"1961";"||3-motorig";"aantal";"0"
"1961";"||2-motorig";"aantal";"4"
"1961";"||1-motorig";"aantal";"0"
"1961";"|||Totaal zuigermotoren";"aantal";"139"
"1961";"||4-motorig";"aantal";"31"
"1961";"||2-motorig";"aantal";"30"
"1961";"||1-motorig";"aantal";"78"
"1961";"|||Totaal Ultra Light's";"aantal";"0"
"1961";"||Very Light (VLA)";"aantal";"0"
"1961";"||Micro Light (MLA)";"aantal";"0"
"1961";"|||Totaal zweefvliegtuigen";"aantal";"."
"1961";"||1-motorig";"aantal";"."
"1961";"||Geen motor";"aantal";"."
"1961";"||Totaal hefschroefvliegtuigen";"aantal";"6"
"1961";"2-motorig";"aantal";"."
"1961";"1-motorig";"aantal";"."
"1961";"Ballonvaartuigen";"aantal";"0"
"1962";"Totale luchtvloot";"aantal";"."
"1962";"Totaal vleugelvliegtuigen";"aantal";"."
"1962";"||Totaal straalmotoren";"aantal";"14"
"1962";"||4-motorig";"aantal";"14"
"1962";"||3-motorig";"aantal";"0"
"1962";"||2-motorig";"aantal";"0"
"1962";"||1-motorig";"aantal";"0"
"1962";"|||Totaal schroefturbinemotoren";"aantal";"25"
"1962";"||4-motorig";"aantal";"20"
"1962";"||3-motorig";"aantal";"0"
"1962";"||2-motorig";"aantal";"5"
"1962";"||1-motorig";"aantal";"0"
"1962";"|||Totaal zuigermotoren";"aantal";"127"
"1962";"||4-motorig";"aantal";"21"
"1962";"||2-motorig";"aantal";"33"
"1962";"||1-motorig";"aantal";"73"
"1962";"|||Totaal Ultra Light's";"aantal";"0"
"1962";"||Very Light (VLA)";"aantal";"0"
"1962";"||Micro Light (MLA)";"aantal";"0"
"1962";"|||Totaal zweefvliegtuigen";"aantal";"."
"1962";"||1-motorig";"aantal";"."
"1962";"||Geen motor";"aantal";"."
"1962";"||Totaal hefschroefvliegtuigen";"aantal";"8"
"1962";"2-motorig";"aantal";"."
"1962";"1-motorig";"aantal";"."
"1962";"Ballonvaartuigen";"aantal";"0"
"1963";"Totale luchtvloot";"aantal";"."
"1963";"Totaal vleugelvliegtuigen";"aantal";"."
"1963";"||Totaal straalmotoren";"aantal";"14"
"1963";"||4-motorig";"aantal";"14"
"1963";"||3-motorig";"aantal";"0"
"1963";"||2-motorig";"aantal";"0"
"1963";"||1-motorig";"aantal";"0"
"1963";"|||Totaal schroefturbinemotoren";"aantal";"24"
"1963";"||4-motorig";"aantal";"20"
"1963";"||3-motorig";"aantal";"0"
"1963";"||2-motorig";"aantal";"4"
"1963";"||1-motorig";"aantal";"0"
"1963";"|||Totaal zuigermotoren";"aantal";"120"
"1963";"||4-motorig";"aantal";"19"
"1963";"||2-motorig";"aantal";"27"
"1963";"||1-motorig";"aantal";"74"
"1963";"|||Totaal Ultra Light's";"aantal";"0"
"1963";"||Very Light (VLA)";"aantal";"0"
"1963";"||Micro Light (MLA)";"aantal";"0"
"1963";"|||Totaal zweefvliegtuigen";"aantal";"."
"1963";"||1-motorig";"aantal";"."
"1963";"||Geen motor";"aantal";"."
"1963";"||Totaal hefschroefvliegtuigen";"aantal";"9"
"1963";"2-motorig";"aantal";"."
"1963";"1-motorig";"aantal";"."
"1963";"Ballonvaartuigen";"aantal";"0"
"1964";"Totale luchtvloot";"aantal";"."
"1964";"Totaal vleugelvliegtuigen";"aantal";"."
"1964";"||Totaal straalmotoren";"aantal";"24"
"1964";"||4-motorig";"aantal";"16"
"1964";"||3-motorig";"aantal";"0"
"1964";"||2-motorig";"aantal";"0"
"1964";"||1-motorig";"aantal";"8"
"1964";"|||Totaal schroefturbinemotoren";"aantal";"26"
"1964";"||4-motorig";"aantal";"20"
"1964";"||3-motorig";"aantal";"0"
"1964";"||2-motorig";"aantal";"6"
"1964";"||1-motorig";"aantal";"0"
"1964";"|||Totaal zuigermotoren";"aantal";"196"
"1964";"||4-motorig";"aantal";"13"
"1964";"||2-motorig";"aantal";"37"
"1964";"||1-motorig";"aantal";"146"
"1964";"|||Totaal Ultra Light's";"aantal";"0"
"1964";"||Very Light (VLA)";"aantal";"0"
"1964";"||Micro Light (MLA)";"aantal";"0"
"1964";"|||Totaal zweefvliegtuigen";"aantal";"."
"1964";"||1-motorig";"aantal";"."
"1964";"||Geen motor";"aantal";"."
"1964";"||Totaal hefschroefvliegtuigen";"aantal";"11"
"1964";"2-motorig";"aantal";"."
"1964";"1-motorig";"aantal";"."
"1964";"Ballonvaartuigen";"aantal";"0"
"1965";"Totale luchtvloot";"aantal";"."
"1965";"Totaal vleugelvliegtuigen";"aantal";"."
"1965";"||Totaal straalmotoren";"aantal";"24"
"1965";"||4-motorig";"aantal";"16"
"1965";"||3-motorig";"aantal";"0"
"1965";"||2-motorig";"aantal";"0"
"1965";"||1-motorig";"aantal";"8"
"1965";"|||Totaal schroefturbinemotoren";"aantal";"25"
"1965";"||4-motorig";"aantal";"18"
"1965";"||3-motorig";"aantal";"0"
"1965";"||2-motorig";"aantal";"7"
"1965";"||1-motorig";"aantal";"0"
"1965";"|||Totaal zuigermotoren";"aantal";"219"
"1965";"||4-motorig";"aantal";"11"
"1965";"||2-motorig";"aantal";"35"
"1965";"||1-motorig";"aantal";"173"
"1965";"|||Totaal Ultra Light's";"aantal";"0"
"1965";"||Very Light (VLA)";"aantal";"0"
"1965";"||Micro Light (MLA)";"aantal";"0"
"1965";"|||Totaal zweefvliegtuigen";"aantal";"."
"1965";"||1-motorig";"aantal";"."
"1965";"||Geen motor";"aantal";"."
"1965";"||Totaal hefschroefvliegtuigen";"aantal";"9"
"1965";"2-motorig";"aantal";"."
"1965";"1-motorig";"aantal";"."
"1965";"Ballonvaartuigen";"aantal";"0"
"1966";"Totale luchtvloot";"aantal";"466"
"1966";"Totaal vleugelvliegtuigen";"aantal";"457"
"1966";"||Totaal straalmotoren";"aantal";"32"
"1966";"||4-motorig";"aantal";"18"
"1966";"||3-motorig";"aantal";"0"
"1966";"||2-motorig";"aantal";"13"
"1966";"||1-motorig";"aantal";"1"
"1966";"|||Totaal schroefturbinemotoren";"aantal";"22"
"1966";"||4-motorig";"aantal";"11"
"1966";"||3-motorig";"aantal";"0"
"1966";"||2-motorig";"aantal";"11"
"1966";"||1-motorig";"aantal";"0"
"1966";"|||Totaal zuigermotoren";"aantal";"246"
"1966";"||4-motorig";"aantal";"16"
"1966";"||2-motorig";"aantal";"33"
"1966";"||1-motorig";"aantal";"197"
"1966";"|||Totaal Ultra Light's";"aantal";"0"
"1966";"||Very Light (VLA)";"aantal";"0"
"1966";"||Micro Light (MLA)";"aantal";"0"
"1966";"|||Totaal zweefvliegtuigen";"aantal";"157"
"1966";"||1-motorig";"aantal";"."
"1966";"||Geen motor";"aantal";"."
"1966";"||Totaal hefschroefvliegtuigen";"aantal";"9"
"1966";"2-motorig";"aantal";"."
"1966";"1-motorig";"aantal";"."
"1966";"Ballonvaartuigen";"aantal";"0"
"1967";"Totale luchtvloot";"aantal";"492"
"1967";"Totaal vleugelvliegtuigen";"aantal";"482"
"1967";"||Totaal straalmotoren";"aantal";"38"
"1967";"||4-motorig";"aantal";"19"
"1967";"||3-motorig";"aantal";"0"
"1967";"||2-motorig";"aantal";"18"
"1967";"||1-motorig";"aantal";"1"
"1967";"|||Totaal schroefturbinemotoren";"aantal";"23"
"1967";"||4-motorig";"aantal";"11"
"1967";"||3-motorig";"aantal";"0"
"1967";"||2-motorig";"aantal";"12"
"1967";"||1-motorig";"aantal";"0"
"1967";"|||Totaal zuigermotoren";"aantal";"247"
"1967";"||4-motorig";"aantal";"12"
"1967";"||2-motorig";"aantal";"29"
"1967";"||1-motorig";"aantal";"206"
"1967";"|||Totaal Ultra Light's";"aantal";"0"
"1967";"||Very Light (VLA)";"aantal";"0"
"1967";"||Micro Light (MLA)";"aantal";"0"
"1967";"|||Totaal zweefvliegtuigen";"aantal";"174"
"1967";"||1-motorig";"aantal";"."
"1967";"||Geen motor";"aantal";"."
"1967";"||Totaal hefschroefvliegtuigen";"aantal";"10"
"1967";"2-motorig";"aantal";"."
"1967";"1-motorig";"aantal";"."
"1967";"Ballonvaartuigen";"aantal";"0"
"1968";"Totale luchtvloot";"aantal";"503"
"1968";"Totaal vleugelvliegtuigen";"aantal";"496"
"1968";"||Totaal straalmotoren";"aantal";"52"
"1968";"||4-motorig";"aantal";"23"
"1968";"||3-motorig";"aantal";"0"
"1968";"||2-motorig";"aantal";"28"
"1968";"||1-motorig";"aantal";"1"
"1968";"|||Totaal schroefturbinemotoren";"aantal";"15"
"1968";"||4-motorig";"aantal";"3"
"1968";"||3-motorig";"aantal";"0"
"1968";"||2-motorig";"aantal";"12"
"1968";"||1-motorig";"aantal";"0"
"1968";"|||Totaal zuigermotoren";"aantal";"251"
"1968";"||4-motorig";"aantal";"14"
"1968";"||2-motorig";"aantal";"28"
"1968";"||1-motorig";"aantal";"209"
