Material Group;Material
Ceramics;friction material Ceramic
Chemicals;sulphuric acid sulfuric acid boron Chemical
Metals, ferrous;cast iron steel chromium steel steel, chromium steel, low alloy iron, pig Steel, reinforcing iron, cast iron, pig Ferrous metal Ferrous alloys Ferrousmetal
Glass;glass Glassfibre
Minerals;silica carbon paper electronicparts  minerals Barite Selenium silicon
Metals, other nonferrous;zinc lead nickel molybdenum titanium Gold Silver Circuitboard tin Barium Sulphate
Organic;organic water rattan wood
Unknown;other unknown Uknown
Paint;paint alkyd paint
Polymers;plastic rubber polyethylene polytetrafluoroethylene Carbon/Perfluorosulfonic Acid Suspension ethylene carbonate dimethyl carbonate glycol binder polymers polyurethane Polyvinylfluoride Phthalic Anhydride hdpe Polyvinylchloride Polyethylene, high density Propylene glycol pitch rubber, synthetic polypropylene Polyphenylene Sulfide Nylon HDPE Propylene glycol Polyvinylfluoride Phthalic Anhydride resin EPDM Polyester Epoxy ABS Polymethylmethacrylate ASA Polystyrene PET Emulsion
Composites;carbon fiber composite fiberglass carbon fibre composite composites
Textiles;textile
Critical Raw Materials, CRM;antimony baryte beryllium bismuth borate chromium cobalt fluorine gallium germanium hafnium helium indium magnesite magnesium niobium platinum phosphate phosphorus scandium silicon niobium tantalum tungsten vanadium rare earth metals LiMn2O4 lipf6 columbium rhenium rubber, natural palladium Neodymium Niobium and tantalum graphite Graphite/Carbon LiMn2O4
Insulation;thermal insulation stone wool
Aluminium;wrought aluminium cast aluminium aluminium, wrought alloy aluminium, wrought alloy aluminium, wrought alloy aluminium, cast alloy
Copper;copper brass bronze
