"Perioden";"Onderwerp";"Bouwjaren";"";""
"2000";"||Totaal motorfietsen";"Totaal alle bouwjaren";"aantal";"413985"
"2000";"||Totaal motorfietsen";"Bouwjaren tot 1910";"aantal";"43"
"2000";"||Totaal motorfietsen";"Bouwjaren 1910 tot 1920";"aantal";"129"
"2000";"||Totaal motorfietsen";"Bouwjaren 1920 tot 1930";"aantal";"528"
"2000";"||Totaal motorfietsen";"Bouwjaren 1930 tot 1940";"aantal";"1352"
"2000";"||Totaal motorfietsen";"Bouwjaren 1940 tot 1950";"aantal";"2493"
"2000";"||Totaal motorfietsen";"Bouwjaren 1950 tot 1960";"aantal";"7373"
"2000";"||Totaal motorfietsen";"Bouwjaren 1960 tot 1970";"aantal";"7566"
"2000";"||Totaal motorfietsen";"Bouwjaren 1970 tot 1980";"aantal";"53424"
"2000";"||Totaal motorfietsen";"Bouwjaren 1980 tot 1990";"aantal";"165943"
"2000";"||Totaal motorfietsen";"Bouwjaren 1990 tot 2000";"aantal";"175134"
"2000";"||Totaal motorfietsen";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"||Totaal motorfietsen";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"-     50 cc";"Totaal alle bouwjaren";"aantal";"797"
"2000";"-     50 cc";"Bouwjaren tot 1910";"aantal";"0"
"2000";"-     50 cc";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"-     50 cc";"Bouwjaren 1920 tot 1930";"aantal";"0"
"2000";"-     50 cc";"Bouwjaren 1930 tot 1940";"aantal";"0"
"2000";"-     50 cc";"Bouwjaren 1940 tot 1950";"aantal";"0"
"2000";"-     50 cc";"Bouwjaren 1950 tot 1960";"aantal";"13"
"2000";"-     50 cc";"Bouwjaren 1960 tot 1970";"aantal";"232"
"2000";"-     50 cc";"Bouwjaren 1970 tot 1980";"aantal";"444"
"2000";"-     50 cc";"Bouwjaren 1980 tot 1990";"aantal";"80"
"2000";"-     50 cc";"Bouwjaren 1990 tot 2000";"aantal";"28"
"2000";"-     50 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"-     50 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"51   -   125 cc";"Totaal alle bouwjaren";"aantal";"5709"
"2000";"51   -   125 cc";"Bouwjaren tot 1910";"aantal";"0"
"2000";"51   -   125 cc";"Bouwjaren 1910 tot 1920";"aantal";"2"
"2000";"51   -   125 cc";"Bouwjaren 1920 tot 1930";"aantal";"6"
"2000";"51   -   125 cc";"Bouwjaren 1930 tot 1940";"aantal";"270"
"2000";"51   -   125 cc";"Bouwjaren 1940 tot 1950";"aantal";"94"
"2000";"51   -   125 cc";"Bouwjaren 1950 tot 1960";"aantal";"508"
"2000";"51   -   125 cc";"Bouwjaren 1960 tot 1970";"aantal";"430"
"2000";"51   -   125 cc";"Bouwjaren 1970 tot 1980";"aantal";"1170"
"2000";"51   -   125 cc";"Bouwjaren 1980 tot 1990";"aantal";"1669"
"2000";"51   -   125 cc";"Bouwjaren 1990 tot 2000";"aantal";"1560"
"2000";"51   -   125 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"51   -   125 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"126  -  175 cc";"Totaal alle bouwjaren";"aantal";"3801"
"2000";"126  -  175 cc";"Bouwjaren tot 1910";"aantal";"0"
"2000";"126  -  175 cc";"Bouwjaren 1910 tot 1920";"aantal";"3"
"2000";"126  -  175 cc";"Bouwjaren 1920 tot 1930";"aantal";"43"
"2000";"126  -  175 cc";"Bouwjaren 1930 tot 1940";"aantal";"18"
"2000";"126  -  175 cc";"Bouwjaren 1940 tot 1950";"aantal";"5"
"2000";"126  -  175 cc";"Bouwjaren 1950 tot 1960";"aantal";"714"
"2000";"126  -  175 cc";"Bouwjaren 1960 tot 1970";"aantal";"1883"
"2000";"126  -  175 cc";"Bouwjaren 1970 tot 1980";"aantal";"575"
"2000";"126  -  175 cc";"Bouwjaren 1980 tot 1990";"aantal";"415"
"2000";"126  -  175 cc";"Bouwjaren 1990 tot 2000";"aantal";"145"
"2000";"126  -  175 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"126  -  175 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"176  -  250 cc";"Totaal alle bouwjaren";"aantal";"20628"
"2000";"176  -  250 cc";"Bouwjaren tot 1910";"aantal";"10"
"2000";"176  -  250 cc";"Bouwjaren 1910 tot 1920";"aantal";"15"
"2000";"176  -  250 cc";"Bouwjaren 1920 tot 1930";"aantal";"57"
"2000";"176  -  250 cc";"Bouwjaren 1930 tot 1940";"aantal";"197"
"2000";"176  -  250 cc";"Bouwjaren 1940 tot 1950";"aantal";"78"
"2000";"176  -  250 cc";"Bouwjaren 1950 tot 1960";"aantal";"2209"
"2000";"176  -  250 cc";"Bouwjaren 1960 tot 1970";"aantal";"1079"
"2000";"176  -  250 cc";"Bouwjaren 1970 tot 1980";"aantal";"2785"
"2000";"176  -  250 cc";"Bouwjaren 1980 tot 1990";"aantal";"7253"
"2000";"176  -  250 cc";"Bouwjaren 1990 tot 2000";"aantal";"6945"
"2000";"176  -  250 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"176  -  250 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"251  -  375 cc";"Totaal alle bouwjaren";"aantal";"11118"
"2000";"251  -  375 cc";"Bouwjaren tot 1910";"aantal";"16"
"2000";"251  -  375 cc";"Bouwjaren 1910 tot 1920";"aantal";"19"
"2000";"251  -  375 cc";"Bouwjaren 1920 tot 1930";"aantal";"151"
"2000";"251  -  375 cc";"Bouwjaren 1930 tot 1940";"aantal";"216"
"2000";"251  -  375 cc";"Bouwjaren 1940 tot 1950";"aantal";"271"
"2000";"251  -  375 cc";"Bouwjaren 1950 tot 1960";"aantal";"1087"
"2000";"251  -  375 cc";"Bouwjaren 1960 tot 1970";"aantal";"903"
"2000";"251  -  375 cc";"Bouwjaren 1970 tot 1980";"aantal";"3638"
"2000";"251  -  375 cc";"Bouwjaren 1980 tot 1990";"aantal";"2750"
"2000";"251  -  375 cc";"Bouwjaren 1990 tot 2000";"aantal";"2067"
"2000";"251  -  375 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"251  -  375 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"376  -  500 cc";"Totaal alle bouwjaren";"aantal";"58744"
"2000";"376  -  500 cc";"Bouwjaren tot 1910";"aantal";"10"
"2000";"376  -  500 cc";"Bouwjaren 1910 tot 1920";"aantal";"41"
"2000";"376  -  500 cc";"Bouwjaren 1920 tot 1930";"aantal";"106"
"2000";"376  -  500 cc";"Bouwjaren 1930 tot 1940";"aantal";"274"
"2000";"376  -  500 cc";"Bouwjaren 1940 tot 1950";"aantal";"343"
"2000";"376  -  500 cc";"Bouwjaren 1950 tot 1960";"aantal";"1547"
"2000";"376  -  500 cc";"Bouwjaren 1960 tot 1970";"aantal";"1136"
"2000";"376  -  500 cc";"Bouwjaren 1970 tot 1980";"aantal";"9428"
"2000";"376  -  500 cc";"Bouwjaren 1980 tot 1990";"aantal";"33471"
"2000";"376  -  500 cc";"Bouwjaren 1990 tot 2000";"aantal";"12388"
"2000";"376  -  500 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"376  -  500 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"501  -  625 cc";"Totaal alle bouwjaren";"aantal";"67349"
"2000";"501  -  625 cc";"Bouwjaren tot 1910";"aantal";"0"
"2000";"501  -  625 cc";"Bouwjaren 1910 tot 1920";"aantal";"17"
"2000";"501  -  625 cc";"Bouwjaren 1920 tot 1930";"aantal";"58"
"2000";"501  -  625 cc";"Bouwjaren 1930 tot 1940";"aantal";"78"
"2000";"501  -  625 cc";"Bouwjaren 1940 tot 1950";"aantal";"31"
"2000";"501  -  625 cc";"Bouwjaren 1950 tot 1960";"aantal";"402"
"2000";"501  -  625 cc";"Bouwjaren 1960 tot 1970";"aantal";"596"
"2000";"501  -  625 cc";"Bouwjaren 1970 tot 1980";"aantal";"5416"
"2000";"501  -  625 cc";"Bouwjaren 1980 tot 1990";"aantal";"17262"
"2000";"501  -  625 cc";"Bouwjaren 1990 tot 2000";"aantal";"43489"
"2000";"501  -  625 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"501  -  625 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"626  -  750 cc";"Totaal alle bouwjaren";"aantal";"111542"
"2000";"626  -  750 cc";"Bouwjaren tot 1910";"aantal";"0"
"2000";"626  -  750 cc";"Bouwjaren 1910 tot 1920";"aantal";"8"
"2000";"626  -  750 cc";"Bouwjaren 1920 tot 1930";"aantal";"26"
"2000";"626  -  750 cc";"Bouwjaren 1930 tot 1940";"aantal";"199"
"2000";"626  -  750 cc";"Bouwjaren 1940 tot 1950";"aantal";"1382"
"2000";"626  -  750 cc";"Bouwjaren 1950 tot 1960";"aantal";"498"
"2000";"626  -  750 cc";"Bouwjaren 1960 tot 1970";"aantal";"831"
"2000";"626  -  750 cc";"Bouwjaren 1970 tot 1980";"aantal";"16208"
"2000";"626  -  750 cc";"Bouwjaren 1980 tot 1990";"aantal";"56234"
"2000";"626  -  750 cc";"Bouwjaren 1990 tot 2000";"aantal";"36156"
"2000";"626  -  750 cc";"Bouwjaren 2000 tot 2010";"aantal";"0"
"2000";"626  -  750 cc";"Bouwjaren vanaf 2010";"aantal";"0"
"2000";"751  -  875 cc";"Totaal alle bouwjaren";"aantal";"19693"
"2000";"751  -  875 cc";"Bouwjaren tot 1910";"aantal";"0"
"2000";"751  -  875 cc";"Bouwjaren 1910 tot 1920";"aantal";"1"
"2000";"751  -  875 cc";"Bouwjaren 1920 tot 1930";"aantal";"8"
"2000";"751  -  875 cc";"Bouwjaren 1930 tot 1940";"aantal";"3"
"2000";"751  -  875 cc";"Bouwjaren 1940 tot 1950";"aantal";"9"
"2000";"751  -  875 cc";"Bouwjaren 1950 tot 1960";"aantal";"5"
