"Perioden";"Onderwerp";"Bouwjaren";"";""
"2000";"Totaal";"Totaal alle bouwjaren";"aantal";"6343164"
"2000";"Totaal";"Bouwjaren tot 1910";"aantal";"56"
"2000";"Totaal";"Bouwjaren 1910 tot 1920";"aantal";"85"
"2000";"Totaal";"Bouwjaren 1920 tot 1930";"aantal";"934"
"2000";"Totaal";"Bouwjaren 1930 tot 1940";"aantal";"2062"
"2000";"Totaal";"Bouwjaren 1940 tot 1950";"aantal";"1928"
"2000";"Totaal";"Bouwjaren 1950 tot 1960";"aantal";"10760"
"2000";"Totaal";"Bouwjaren 1960 tot 1970";"aantal";"41835"
"2000";"Totaal";"Bouwjaren 1970 tot 1980";"aantal";"115572"
"2000";"Totaal";"Bouwjaren 1980 tot 1990";"aantal";"1711400"
"2000";"Totaal";"Bouwjaren 1990 tot 2000";"aantal";"4458532"
"2000";"Totaal";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"Totaal";"Bouwjaren vanaf 2010";"aantal";""
"2000";"Benzine";"Totaal alle bouwjaren";"aantal";"5214684"
"2000";"Benzine";"Bouwjaren tot 1910";"aantal";"55"
"2000";"Benzine";"Bouwjaren 1910 tot 1920";"aantal";"85"
"2000";"Benzine";"Bouwjaren 1920 tot 1930";"aantal";"932"
"2000";"Benzine";"Bouwjaren 1930 tot 1940";"aantal";"2054"
"2000";"Benzine";"Bouwjaren 1940 tot 1950";"aantal";"1867"
"2000";"Benzine";"Bouwjaren 1950 tot 1960";"aantal";"10150"
"2000";"Benzine";"Bouwjaren 1960 tot 1970";"aantal";"33816"
"2000";"Benzine";"Bouwjaren 1970 tot 1980";"aantal";"98744"
"2000";"Benzine";"Bouwjaren 1980 tot 1990";"aantal";"1514423"
"2000";"Benzine";"Bouwjaren 1990 tot 2000";"aantal";"3552558"
"2000";"Benzine";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"Benzine";"Bouwjaren vanaf 2010";"aantal";""
"2000";"Diesel";"Totaal alle bouwjaren";"aantal";"797592"
"2000";"Diesel";"Bouwjaren tot 1910";"aantal";"0"
"2000";"Diesel";"Bouwjaren 1910 tot 1920";"aantal";"0"
"2000";"Diesel";"Bouwjaren 1920 tot 1930";"aantal";"1"
"2000";"Diesel";"Bouwjaren 1930 tot 1940";"aantal";"1"
"2000";"Diesel";"Bouwjaren 1940 tot 1950";"aantal";"8"
"2000";"Diesel";"Bouwjaren 1950 tot 1960";"aantal";"165"
"2000";"Diesel";"Bouwjaren 1960 tot 1970";"aantal";"754"
"2000";"Diesel";"Bouwjaren 1970 tot 1980";"aantal";"5250"
"2000";"Diesel";"Bouwjaren 1980 tot 1990";"aantal";"144453"
