"TIME";"REP_MAR";"VESSEL";"UNIT";"Value";"Flag and Footnotes"
"1997";"Netherlands";"Total";"Number";"45 511";""
"1997";"Netherlands";"Total";"Gross tonnage (GT) in thousand";"521 779";""
"1997";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Liquid bulk tanker";"Number";"9 037";""
"1997";"Netherlands";"Liquid bulk tanker";"Gross tonnage (GT) in thousand";"115 749";""
"1997";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Dry bulk carrier";"Number";"2 935";""
"1997";"Netherlands";"Dry bulk carrier";"Gross tonnage (GT) in thousand";"99 755";""
"1997";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Container ship";"Number";"4 938";""
"1997";"Netherlands";"Container ship";"Gross tonnage (GT) in thousand";"116 631";""
"1997";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Specialised carrier";"Number";"162";""
"1997";"Netherlands";"Specialised carrier";"Gross tonnage (GT) in thousand";"2 164";""
"1997";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"General cargo; non-specialised";"Number";"23 861";""
"1997";"Netherlands";"General cargo; non-specialised";"Gross tonnage (GT) in thousand";"176 591";""
"1997";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Dry cargo barge";"Number";":";""
"1997";"Netherlands";"Dry cargo barge";"Gross tonnage (GT) in thousand";":";""
"1997";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Cruise ship";"Number";":";""
"1997";"Netherlands";"Cruise ship";"Gross tonnage (GT) in thousand";":";""
"1997";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Passenger ship (excluding cruise ship)";"Number";"43";""
"1997";"Netherlands";"Passenger ship (excluding cruise ship)";"Gross tonnage (GT) in thousand";"756";""
"1997";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Fishing vessel";"Number";"62";""
"1997";"Netherlands";"Fishing vessel";"Gross tonnage (GT) in thousand";"156";""
"1997";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Offshore activities vessel";"Number";"2 009";""
"1997";"Netherlands";"Offshore activities vessel";"Gross tonnage (GT) in thousand";"4 165";""
"1997";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Tug and pusher craft";"Number";"681";""
"1997";"Netherlands";"Tug and pusher craft";"Gross tonnage (GT) in thousand";"657";""
"1997";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1997";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1997";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Number";"1 783";""
