Year,Vehiclename,Stock,Inflow,Outflow,Class,Vehicle,Vmass,lifespan,PW,wlo
2000,icev,6569705.914357416,,,Cars,icev,1121.0,,BAU,laag
2001,icev,6580576.29525404,378855.3904551845,367985.0095585591,Cars,icev,1121.0,20.77,BAU,laag
2002,icev,6612581.799289651,383933.8828818733,351928.378846263,Cars,icev,1121.0,20.77,BAU,laag
2003,icev,6667987.026262029,398877.4088702118,343472.1818978328,Cars,icev,1121.0,20.77,BAU,laag
2004,icev,6748154.767612439,418776.06412180606,338608.3227713957,Cars,icev,1121.0,20.77,BAU,laag
2005,icev,6852513.6116909655,440207.0807924587,335848.2367139369,Cars,icev,1121.0,20.77,BAU,laag
2006,icev,6977640.777272631,459464.01863728,334336.8530556086,Cars,icev,1121.0,20.77,BAU,laag
2007,icev,7117073.195387529,473027.69587972667,333595.27776483004,Cars,icev,1121.0,20.77,BAU,laag
2008,icev,7262304.61554595,478565.5613867417,333334.1412283238,Cars,icev,1121.0,20.77,BAU,laag
2009,icev,7404746.794937712,475834.1942841159,333392.0148923518,Cars,icev,1121.0,20.77,BAU,laag
2010,icev,7537723.450742777,466671.17411594745,333694.5183108837,Cars,icev,1121.0,20.77,BAU,laag
2011,icev,7657544.774737248,454057.1434375504,334235.8194430815,Cars,icev,1121.0,20.77,BAU,laag
2012,icev,7763397.824156003,440920.98870541714,335067.93928666017,Cars,icev,1121.0,20.77,BAU,laag
2013,icev,7856479.547222865,429376.6101044584,336294.8870375955,Cars,icev,1121.0,20.77,BAU,laag
2014,icev,7938980.287082638,420568.434059225,338067.69419945416,Cars,icev,1121.0,20.77,BAU,laag
2015,icev,8013300.99428239,414898.0478596408,340577.3406598844,Cars,icev,1121.0,20.77,BAU,laag
2016,icev,8081601.55496771,412343.0091355862,344042.4484502679,Cars,icev,1121.0,20.77,BAU,laag
2017,icev,8145615.4001132855,412702.5552434372,348688.71009786276,Cars,icev,1121.0,20.77,BAU,laag
