"Onderwerp","Perioden","Eenheid","Waarde"
"||Totaal","2000","aantal","6343164"
"||Totaal","2001","aantal","6539040"
"||Totaal","2002","aantal","6710595"
"||Totaal","2003","aantal","6854947"
"||Totaal","2004","aantal","6908890"
"||Totaal","2005","aantal","6991974"
"||Totaal","2006","aantal","7092293"
"||Totaal","2007","aantal","7230178"
"||Totaal","2008","aantal","7391903"
"||Totaal","2009","aantal","7542331"
"||Totaal","2010","aantal","7622353"
"||Totaal","2011","aantal","7735547"
"||Totaal","2012","aantal","7858712"
"||Totaal","2013","aantal","7915613"
"||Totaal","2014","aantal","7932290"
"||Totaal","2015","aantal","7979083"
"||Totaal","2016","aantal","8100864"
"||Totaal","2017","aantal","8222974"
"||Totaal","2018","aantal","8373244"
"||Totaal","2019","aantal","8530584"
"0-450 kg","2000","aantal","1117"
"0-450 kg","2001","aantal","1224"
"0-450 kg","2002","aantal","1367"
"0-450 kg","2003","aantal","1781"
"0-450 kg","2004","aantal","2176"
"0-450 kg","2005","aantal","2888"
"0-450 kg","2006","aantal","3915"
"0-450 kg","2007","aantal","5599"
"0-450 kg","2008","aantal","7938"
"0-450 kg","2009","aantal","10119"
"0-450 kg","2010","aantal","12384"
"0-450 kg","2011","aantal","14179"
"0-450 kg","2012","aantal","15652"
"0-450 kg","2013","aantal","17098"
"0-450 kg","2014","aantal","18109"
"0-450 kg","2015","aantal","19502"
"0-450 kg","2016","aantal","21088"
"0-450 kg","2017","aantal","22608"
"0-450 kg","2018","aantal","24047"
"0-450 kg","2019","aantal","25219"
"451-550 kg","2000","aantal","7855"
"451-550 kg","2001","aantal","8102"
"451-550 kg","2002","aantal","8360"
"451-550 kg","2003","aantal","8691"
"451-550 kg","2004","aantal","8699"
"451-550 kg","2005","aantal","8776"
"451-550 kg","2006","aantal","8739"
"451-550 kg","2007","aantal","8671"
"451-550 kg","2008","aantal","8548"
"451-550 kg","2009","aantal","8683"
"451-550 kg","2010","aantal","8778"
"451-550 kg","2011","aantal","8919"
"451-550 kg","2012","aantal","9027"
"451-550 kg","2013","aantal","9042"
"451-550 kg","2014","aantal","9045"
"451-550 kg","2015","aantal","8948"
"451-550 kg","2016","aantal","8859"
"451-550 kg","2017","aantal","8833"
"451-550 kg","2018","aantal","8871"
"451-550 kg","2019","aantal","8934"
"551-650 kg","2000","aantal","170269"
"551-650 kg","2001","aantal","158755"
"551-650 kg","2002","aantal","148251"
"551-650 kg","2003","aantal","136868"
"551-650 kg","2004","aantal","123736"
"551-650 kg","2005","aantal","111384"
"551-650 kg","2006","aantal","99754"
"551-650 kg","2007","aantal","87770"
"551-650 kg","2008","aantal","77059"
"551-650 kg","2009","aantal","67105"
"551-650 kg","2010","aantal","56227"
"551-650 kg","2011","aantal","47585"
"551-650 kg","2012","aantal","41414"
"551-650 kg","2013","aantal","36659"
"551-650 kg","2014","aantal","32857"
"551-650 kg","2015","aantal","29627"
"551-650 kg","2016","aantal","26889"
"551-650 kg","2017","aantal","24608"
"551-650 kg","2018","aantal","22872"
"551-650 kg","2019","aantal","21466"
"651-750 kg","2000","aantal","598472"
"651-750 kg","2001","aantal","558553"
"651-750 kg","2002","aantal","517682"
"651-750 kg","2003","aantal","475421"
"651-750 kg","2004","aantal","427228"
"651-750 kg","2005","aantal","384726"
"651-750 kg","2006","aantal","348964"
"651-750 kg","2007","aantal","318919"
"651-750 kg","2008","aantal","294050"
"651-750 kg","2009","aantal","274156"
"651-750 kg","2010","aantal","250111"
"651-750 kg","2011","aantal","227422"
"651-750 kg","2012","aantal","207184"
"651-750 kg","2013","aantal","189797"
"651-750 kg","2014","aantal","174060"
"651-750 kg","2015","aantal","159888"
"651-750 kg","2016","aantal","146111"
"651-750 kg","2017","aantal","132723"
"651-750 kg","2018","aantal","119192"
"651-750 kg","2019","aantal","105843"
"751-850 kg","2000","aantal","1011930"
"751-850 kg","2001","aantal","989545"
"751-850 kg","2002","aantal","961059"
"751-850 kg","2003","aantal","940846"
"751-850 kg","2004","aantal","904025"
"751-850 kg","2005","aantal","882670"
"751-850 kg","2006","aantal","864396"
"751-850 kg","2007","aantal","853358"
"751-850 kg","2008","aantal","850354"
"751-850 kg","2009","aantal","849451"
"751-850 kg","2010","aantal","850581"
"751-850 kg","2011","aantal","898035"
"751-850 kg","2012","aantal","956877"
"751-850 kg","2013","aantal","1003119"
"751-850 kg","2014","aantal","1032929"
"751-850 kg","2015","aantal","1052776"
"751-850 kg","2016","aantal","1079769"
"751-850 kg","2017","aantal","1106464"
"751-850 kg","2018","aantal","1142203"
"751-850 kg","2019","aantal","1175939"
"851-950 kg","2000","aantal","1058895"
"851-950 kg","2001","aantal","1051215"
"851-950 kg","2002","aantal","1045700"
"851-950 kg","2003","aantal","1026125"
"851-950 kg","2004","aantal","987259"
"851-950 kg","2005","aantal","968427"
"851-950 kg","2006","aantal","959643"
"851-950 kg","2007","aantal","944928"
"851-950 kg","2008","aantal","929596"
"851-950 kg","2009","aantal","931068"
"851-950 kg","2010","aantal","926374"
"851-950 kg","2011","aantal","921325"
"851-950 kg","2012","aantal","926147"
"851-950 kg","2013","aantal","931828"
"851-950 kg","2014","aantal","929028"
