cbs_cat;AverageWeight;TotalWeight;Count
Straalmotoren 2-motorig;48096.78571;1442903.5714;30
Straalmotoren 4-motorig;183500.00000;367000.0000;2
Zuigermotoren 1-motorig;601.06243;181520.8543;302
Ballonvaartuigen;606.15991;95167.1066;157
Straalmotoren 3-motorig;11568.00000;46272.0000;4
Zuigermotoren 2-motorig;1903.85827;51404.1734;27
Schroefturbinemotoren 2-motorig;5625.00000;50625.0000;9
Hefschroefvliegtuigen 2-motorig;2140.00000;29960.0000;14
Schroefturbinemotoren 1-motorig;1989.87385;29848.1077;15
Zweefvliegtuigen geen motor;277.55380;38857.5320;140
Ultra Lights MLA;178.16471;27615.5294;155
Hefschroefvliegtuigen 1-motorig;656.62941;11162.7000;17
Zweefvliegtuigen 1-motorig;376.00000;19928.0000;53
Ultra Lights VLA;364.00000;4004.0000;11
Drone;13.67785;3118.5504;228
