Age,Count
0,68783
1,56853
2,51479
3,49697
4,53544
5,54364
6,44251
7,42195
8,64019
9,55757
10,38875
11,37022
12,45953
13,35114
14,30607
15,25219
16,22359
17,18495
18,13272
19,8611
20,4795
21,2286
22,1527
23,2213
24,2006
25,1477
26,1063
27,832
28,789
29,1077
30,1447
31,1225
32,943
33,816
34,689
35,756
36,859
37,895
38,905
39,980
40,896
41,477
42,553
43,495
44,520
45,428
46,385
47,283
48,262
49,216
50,252
51,170
52,148
53,131
54,107
55,80
56,135
57,250
58,223
59,245
60,335
61,275
62,175
63,156
64,149
65,136
66,123
67,89
68,66
69,47
70,48
71,26
72,78
73,139
74,82
75,45
76,30
77,18
78,17
79,16
80,12
81,7
82,14
83,12
84,17
85,36
86,55
87,31
88,20
89,17
90,10
91,6
92,7
93,7
94,5
95,5
96,5
97,1
98,
99,
