Age,Count
0,830
1,337
2,650
3,581
4,728
5,539
6,684
7,931
8,995
9,786
10,485
11,333
12,254
13,258
14,161
15,144
16,132
17,116
18,77
19,74
20,65
21,58
22,50
23,26
24,19
25,26
26,24
27,18
28,25
29,33
30,19
31,14
32,12
33,10
34,22
35,16
36,24
37,13
38,15
39,15
40,10
41,10
42,11
43,9
44,8
45,6
46,5
47,1
48,11
49,15
50,22
51,12
52,6
53,4
54,7
55,12
56,8
57,7
58,7
59,5
60,7
61,4
62,5
63,5
64,6
65,3
66,2
67,4
68,1
69,3
70,0
71,1
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,2
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,
99,
