Age,Count
0,0
1,366968
2,467942
3,409659
4,433213
5,497091
6,542658
7,475380
8,374528
9,439109
10,433435
11,450933
12,413502
13,405359
14,382492
15,364045
16,327100
17,329452
18,278129
19,184938
20,122663
21,83659
22,54861
23,37099
24,24837
25,23253
26,19024
27,14349
28,10512
29,8815
30,10882
31,18581
32,12914
33,11117
34,11326
35,8870
36,7038
37,7081
38,9402
39,9040
40,8186
41,7098
42,8148
43,9529
44,12758
45,12413
46,9590
47,8505
48,7519
49,6744
50,6151
51,5149
52,4861
53,3315
54,2395
55,2250
56,1884
57,2434
58,2352
59,1894
60,2008
61,2456
62,1630
63,1163
64,1117
65,962
66,755
67,576
68,425
69,411
70,253
71,138
72,120
73,291
74,463
75,559
76,184
77,103
78,259
79,276
80,274
81,268
82,254
83,290
84,253
85,284
86,440
87,583
88,450
89,344
90,149
91,123
92,125
93,87
94,71
95,52
96,30
97,39
