Domain,Class,lifespan,shape,lifespan source,Vmass,Vehicle,Vehiclename
Mobility,Aircraft,20,8,demographic data,181840.0,A330,A330
Mobility,Aircraft,20,8,demographic data,161000.0,B787,B787
Mobility,Bicycles,10,3,guess,16.3,bike,bike
Mobility,Bicycles,5,3,guess,24.5,ebike,ebike
Mobility,Bicycles,9,3,guess,100.0,emoped,emoped
Mobility,Bicycles,18,3,demographic data,100.0,moped,moped
Mobility,Cars,9.5,5.5,demographic data,1776.0,ev,ev
Mobility,Cars,19,5.5,demographic data,1211.3,hev,hev
Mobility,Cars,19,5.5,demographic data,1121.0,icev,icev
Mobility,Transit,22.5,1.8,demographic data,10787.0,bus,bus
Mobility,Transit,40,8,informed guess,155000.0,ptrain,ptrain
Mobility,Walking,1,1,-,,walk,walk
Freight,Inlandvessels,45,1.4,demographic data,1041700.0,hmaxin,lbarge
Freight,Inlandvessels,45,1.4,demographic data,625000.0,hmaxin,mbarge
Freight,Inlandvessels,45,1.4,demographic data,312500.0,hmaxin,sbarge
Freight,Inlandvessels,45,1.4,demographic data,1458300.0,hmaxin,xlbarge
Freight,Utilitycars,21.5,2,demographic data,1694.0,icevan,icevan
Freight,Utilitycars,21.5,2,demographic data,2683.8,evan,evan
Freight,Utilitycars,17,2.5,demographic data,8275.4,lorry16t,16tlorry
Freight,Utilitycars,17,2.5,demographic data,14842.0,lorry28t,28tlorry
Freight,Utilitycars,17,2.5,demographic data,21202.9,lorry40t,40tlorry
Freight,Seavessels,35,1.4,demographic data,6893840.0,hmax,Bagger schip
Freight,Seavessels,35,1.4,demographic data,157714.0,hmax,Bergings schip
Freight,Seavessels,35,1.4,demographic data,3988160.0,hmax,Bevoorradings schip
Freight,Seavessels,35,1.4,demographic data,8430080.0,hmax,Boorvaartuig
Freight,Seavessels,35,1.4,demographic data,15200512.0,bulker,Bulk Carrier
Freight,Seavessels,35,1.4,demographic data,25822745.0,hmax,Container schip
Freight,Seavessels,35,1.4,demographic data,50521512.0,hmax,Cruise schip
Freight,Seavessels,35,1.4,demographic data,10860882.0,tanker,Gas tanker
Freight,Seavessels,35,1.4,demographic data,22681383.0,hmax,Koel schip
Freight,Seavessels,35,1.4,demographic data,1191696.0,hmax,Kust en zeesleepboot
Freight,Seavessels,35,1.4,demographic data,390720.0,hmax,Meet- en peil vaartuig
Freight,Seavessels,35,1.4,demographic data,11472098.0,hmax,Multi purpose vessel
Freight,Seavessels,35,1.4,demographic data,7314752.0,hmax,Offshore support vessel
Freight,Seavessels,35,1.4,demographic data,15714330.0,tanker,Olie-chemicalien tanker
Freight,Seavessels,35,1.4,demographic data,3260956.0,hmax,Overig
Freight,Seavessels,35,1.4,demographic data,40004800.0,hmax,Ro-Ro Vessel
Freight,Seavessels,35,1.4,demographic data,18308784.0,hmax,Sleephopper zuiger
Freight,Seavessels,35,1.4,demographic data,6112104.0,hmax,Snijkop zuiger
Freight,Seavessels,35,1.4,demographic data,2588672.0,hmax,Splijtbak - Omnibarge
Freight,Seavessels,35,1.4,demographic data,39362672.0,hmax,Steen storter schip
Freight,Seavessels,35,1.4,demographic data,3789056.0,hmax,Transport ponton
Freight,Seavessels,35,1.4,demographic data,128216640.0,hmax,Veer schip
Freight,Seavessels,35,1.4,demographic data,1062400.0,hmax,Werk schip
Freight,Seavessels,35,1.4,demographic data,2284528.0,hmax,Zuiger schip
Freight,Seavessels,35,1.4,demographic data,32497905.0,hmax,Zware lading schip
Freight,Freighttrains,40,4,informed guess,590000.0,ftrain,ftrain
