Vehicle,lifetime,shape,Source
ice,19,5.5,demographics
ev,19,5.5,demographics
hev,19,5.5,demographics
train,40,4,guess
metro-bus,22.5,1.8,demographics
ebike,5,3,
bike,8,3,
emoped,8,3,
moped,8,3,
walk,1,1,
40tlorry,22.5,1.8,demographics
28tlorry,22.5,1.8,demographics
16tlorry,22.5,1.8,demographics
freighttrain,40,4,guess
xlbarge,16.5,1.4,demographics
lbarge,16.5,1.4,demographics
mbarge,16.5,1.4,demographics
sbarge,16.5,1.4,demographics
A330,20,4,demographics
B787,20,4,demographics
Boorvaartuig,16.5,1.4,demographics
Overig,16.5,1.4,demographics
Bulk Carrier,16.5,1.4,demographics
Bergings schip,16.5,1.4,demographics
Veer schip,16.5,1.4,demographics
Steen storter schip,16.5,1.4,demographics
Meet- en peil vaartuig,16.5,1.4,demographics
Ro-Ro Vessel,16.5,1.4,demographics
Zuiger schip,16.5,1.4,demographics
Bevoorradings schip,16.5,1.4,demographics
Bagger schip,16.5,1.4,demographics
Zware lading schip,16.5,1.4,demographics
Cruise schip,16.5,1.4,demographics
Koel schip,16.5,1.4,demographics
Offshore support vessel,16.5,1.4,demographics
Gas tanker,16.5,1.4,demographics
Werk schip,16.5,1.4,demographics
Snijkop zuiger,16.5,1.4,demographics
Splijtbak - Omnibarge,16.5,1.4,demographics
Olie-chemicalien tanker,16.5,1.4,demographics
Sleephopper zuiger,16.5,1.4,demographics
Transport ponton,16.5,1.4,demographics
Container schip,16.5,1.4,demographics
Kust en zeesleepboot,16.5,1.4,demographics
Multi purpose vessel,16.5,1.4,demographics
