Age,Count
0,0
1,11659
2,10975
3,10163
4,9557
5,10738
6,12051
7,14059
8,17418
9,21995
10,22640
11,21421
12,21175
13,23320
14,22983
15,22069
16,22651
17,24636
18,24740
19,21391
20,21115
21,18892
22,17615
23,17206
24,18975
25,17530
26,14978
27,12053
28,10274
29,10762
30,12254
31,15105
32,12520
33,9475
34,7997
35,8857
36,7009
37,6684
38,6728
39,7246
40,6262
41,4971
42,3994
43,3660
44,3425
45,3025
46,2180
47,1817
48,1377
49,1181
50,1346
51,1012
52,1090
53,910
54,896
55,1044
56,1205
57,963
58,913
59,879
60,1290
61,1555
62,1948
63,1393
64,937
65,636
66,650
67,479
68,290
69,233
70,228
71,191
72,150
73,162
74,503
75,655
76,214
77,304
78,413
79,378
80,226
81,199
82,141
83,138
84,91
85,133
86,117
87,159
88,161
89,149
90,103
91,71
92,60
93,58
94,47
95,30
96,61
97,50
98,45
99,16
100,21
101,12
102,17
103,52
104,37
105,25
106,20
107,13
108,6
109,7
110,10
111,8
112,4
113,7
114,8
115,8
116,3
117,2
