Age,Count
0,3996
1,3213
2,2520
3,3229
4,3457
5,3644
6,3491
7,4395
8,5060
9,3645
10,3383
11,1914
12,1666
13,1513
14,1720
15,1772
16,1521
17,1376
18,1131
19,839
20,707
21,546
22,540
23,414
24,540
25,461
26,419
27,345
28,395
29,336
30,330
31,250
32,196
33,122
34,116
35,115
36,119
37,125
38,139
39,90
40,102
41,85
42,101
43,87
44,97
45,81
46,101
47,71
48,82
49,79
50,74
51,84
52,60
53,55
54,47
55,24
56,27
57,44
58,79
59,101
60,135
61,70
62,54
63,29
64,110
65,9
66,6
67,3
68,7
69,6
70,9
71,52
72,136
73,137
74,77
75,20
76,9
77,2
78,2
79,2
80,2
81,1
82,0
83,1
84,0
85,2
86,1
87,0
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,
99,
