Age,Count
0,121464
1,105276
2,93151
3,90337
4,95524
5,99846
6,85738
7,86208
8,126117
9,116435
10,93451
11,86403
12,97677
13,87693
14,79450
15,74724
16,70900
17,61396
18,49912
19,46497
20,36666
21,32161
22,31001
23,29435
24,30859
25,29537
26,27030
27,24214
28,21556
29,19115
30,17471
31,14641
32,12487
33,11025
34,9683
35,9713
36,11514
37,11686
38,10647
39,8804
40,6087
41,3512
42,2843
43,2497
44,2136
45,1575
46,1306
47,850
48,751
49,608
50,603
51,474
52,411
53,286
54,233
55,180
56,227
57,352
58,355
59,405
60,533
61,462
62,336
63,227
64,407
65,169
66,150
67,110
68,82
69,61
70,71
71,95
72,293
73,361
74,188
75,75
76,49
77,22
78,24
79,23
80,19
81,13
82,20
83,18
84,18
85,44
86,66
87,43
88,25
89,19
90,10
91,7
92,11
93,8
94,8
95,6
96,7
97,4
98,
99,
