Onderwerp,Perioden,Waarde,Vtype
65,2000,797,Motorbike
65,2001,895,Motorbike
65,2002,1033,Motorbike
65,2003,1193,Motorbike
65,2004,1337,Motorbike
65,2005,1530,Motorbike
65,2006,1797,Motorbike
65,2007,2117,Motorbike
65,2008,2348,Motorbike
65,2009,2616,Motorbike
65,2010,2829,Motorbike
65,2011,2997,Motorbike
65,2012,3112,Motorbike
65,2013,3229,Motorbike
65,2014,3251,Motorbike
65,2015,3313,Motorbike
65,2016,3388,Motorbike
65,2017,3480,Motorbike
65,2018,3668,Motorbike
65,2019,3742,Motorbike
117,2000,5709,Motorbike
117,2001,6235,Motorbike
117,2002,6695,Motorbike
117,2003,7165,Motorbike
117,2004,7459,Motorbike
117,2005,7971,Motorbike
117,2006,8463,Motorbike
117,2007,9092,Motorbike
117,2008,9832,Motorbike
117,2009,10872,Motorbike
117,2010,11491,Motorbike
117,2011,12167,Motorbike
117,2012,12852,Motorbike
117,2013,13333,Motorbike
117,2014,14506,Motorbike
117,2015,15031,Motorbike
117,2016,15697,Motorbike
117,2017,16340,Motorbike
117,2018,17123,Motorbike
117,2019,17706,Motorbike
140,2000,3801,Motorbike
140,2001,4001,Motorbike
140,2002,4220,Motorbike
140,2003,4518,Motorbike
140,2004,4832,Motorbike
140,2005,5088,Motorbike
140,2006,5386,Motorbike
140,2007,5647,Motorbike
140,2008,5930,Motorbike
140,2009,6541,Motorbike
140,2010,6999,Motorbike
140,2011,7323,Motorbike
140,2012,7551,Motorbike
140,2013,7749,Motorbike
140,2014,7913,Motorbike
140,2015,8055,Motorbike
140,2016,8222,Motorbike
140,2017,8361,Motorbike
140,2018,8438,Motorbike
140,2019,8195,Motorbike
154,2000,20628,Motorbike
154,2001,20889,Motorbike
154,2002,21178,Motorbike
154,2003,21970,Motorbike
154,2004,21978,Motorbike
154,2005,21941,Motorbike
154,2006,21932,Motorbike
154,2007,21968,Motorbike
154,2008,22392,Motorbike
154,2009,23367,Motorbike
154,2010,23758,Motorbike
154,2011,23894,Motorbike
154,2012,23977,Motorbike
154,2013,23930,Motorbike
154,2014,23614,Motorbike
154,2015,23165,Motorbike
154,2016,22784,Motorbike
154,2017,22732,Motorbike
154,2018,22583,Motorbike
154,2019,22096,Motorbike
170,2000,11118,Motorbike
170,2001,11082,Motorbike
170,2002,11176,Motorbike
170,2003,11490,Motorbike
170,2004,11425,Motorbike
170,2005,11372,Motorbike
170,2006,11334,Motorbike
170,2007,11280,Motorbike
170,2008,11215,Motorbike
170,2009,11610,Motorbike
170,2010,11833,Motorbike
170,2011,12182,Motorbike
170,2012,12541,Motorbike
170,2013,12770,Motorbike
170,2014,13019,Motorbike
170,2015,13479,Motorbike
170,2016,14135,Motorbike
170,2017,15030,Motorbike
170,2018,16204,Motorbike
170,2019,17198,Motorbike
184,2000,58744,Motorbike
184,2001,59283,Motorbike
184,2002,59758,Motorbike
184,2003,61613,Motorbike
184,2004,61719,Motorbike
184,2005,61886,Motorbike
184,2006,61559,Motorbike
184,2007,60981,Motorbike
184,2008,60661,Motorbike
184,2009,60654,Motorbike
184,2010,60409,Motorbike
184,2011,59662,Motorbike
184,2012,58859,Motorbike
184,2013,57837,Motorbike
184,2014,56263,Motorbike
184,2015,54381,Motorbike
184,2016,52869,Motorbike
184,2017,51545,Motorbike
184,2018,50549,Motorbike
184,2019,48992,Motorbike
194,2000,67349,Motorbike
194,2001,72672,Motorbike
194,2002,77976,Motorbike
194,2003,84655,Motorbike
194,2004,89680,Motorbike
194,2005,93935,Motorbike
194,2006,96268,Motorbike
194,2007,98348,Motorbike
194,2008,100174,Motorbike
194,2009,102049,Motorbike
194,2010,103940,Motorbike
194,2011,105181,Motorbike
194,2012,105933,Motorbike
194,2013,105953,Motorbike
194,2014,104576,Motorbike
194,2015,102032,Motorbike
194,2016,99408,Motorbike
194,2017,97125,Motorbike
194,2018,94748,Motorbike
194,2019,91963,Motorbike
203,2000,111542,Motorbike
203,2001,115829,Motorbike
203,2002,119440,Motorbike
203,2003,125555,Motorbike
203,2004,128510,Motorbike
203,2005,131571,Motorbike
203,2006,133842,Motorbike
203,2007,135464,Motorbike
203,2008,137529,Motorbike
203,2009,140542,Motorbike
203,2010,142484,Motorbike
203,2011,143597,Motorbike
203,2012,144448,Motorbike
203,2013,144725,Motorbike
203,2014,143556,Motorbike
203,2015,141710,Motorbike
203,2016,140592,Motorbike
203,2017,140266,Motorbike
203,2018,140765,Motorbike
203,2019,140824,Motorbike
210,2000,19693,Motorbike
210,2001,21203,Motorbike
210,2002,22529,Motorbike
210,2003,24077,Motorbike
210,2004,25302,Motorbike
210,2005,26364,Motorbike
210,2006,27325,Motorbike
210,2007,28469,Motorbike
210,2008,29537,Motorbike
210,2009,30926,Motorbike
210,2010,32158,Motorbike
210,2011,33143,Motorbike
210,2012,34313,Motorbike
210,2013,35178,Motorbike
210,2014,35936,Motorbike
210,2015,36683,Motorbike
210,2016,38108,Motorbike
210,2017,39449,Motorbike
210,2018,40906,Motorbike
210,2019,42604,Motorbike
216,2000,45989,Motorbike
216,2001,50204,Motorbike
216,2002,54330,Motorbike
216,2003,60456,Motorbike
216,2004,65302,Motorbike
216,2005,69704,Motorbike
216,2006,73007,Motorbike
216,2007,76353,Motorbike
216,2008,79830,Motorbike
216,2009,83062,Motorbike
216,2010,86593,Motorbike
216,2011,88887,Motorbike
216,2012,90638,Motorbike
216,2013,91637,Motorbike
216,2014,91582,Motorbike
216,2015,91240,Motorbike
216,2016,90556,Motorbike
216,2017,90668,Motorbike
216,2018,90950,Motorbike
216,2019,91277,Motorbike
221,2000,32445,Motorbike
221,2001,35063,Motorbike
221,2002,37073,Motorbike
221,2003,39514,Motorbike
221,2004,41159,Motorbike
