VlootboekType,Perioden,VlootboekCat,VlootboekNaam,Waarde,Vehiclelifetime,GTavg,kWavg,Flow,VlootboekType,EUtype,GT/LDT,VehicleAvgWeight,GTsum,LTsum,KWsum,VehicleWsum,Class
zware,2019,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2018,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2017,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2016,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2015,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2014,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2013,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2012,HV,Zware lading schip,,,,,stock,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2011,HV,Zware lading schip,16,13,9716,7009,stock,Handelsvaart,Specialised cargo,2.67,25941720,155456,208,112144,415067520,Seavessels
zware,2011,HV,Zware lading schip,1,-,12802,,in,Handelsvaart,Specialised cargo,2.67,34181340,12802,,,34181340,Seavessels
zware,2011,HV,Zware lading schip,2,-,13347,,in,Handelsvaart,Specialised cargo,2.67,35636490,26694,,,71272980,Seavessels
zware,2010,HV,Zware lading schip,16,16,8950,5538,stock,Handelsvaart,Specialised cargo,2.67,23896500,143200,256,88608,382344000,Seavessels
zware,2009,HV,Zware lading schip,16,15,8950,5538,stock,Handelsvaart,Specialised cargo,2.67,23896500,143200,240,88608,382344000,Seavessels
zware,2008,HV,Zware lading schip,16,14,8950,5538,stock,Handelsvaart,Specialised cargo,2.67,23896500,143200,224,88608,382344000,Seavessels
zware,2008,HV,Zware lading schip,5,-,0,,out,Handelsvaart,Specialised cargo,2.67,,,,,,Seavessels
zware,2007,HV,Zware lading schip,17,14,9195,5558,stock,Handelsvaart,Specialised cargo,2.67,24550650,156315,238,94486,417361050,Seavessels
zware,2006,HV,Zware lading schip,16,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,146444,230,93324,391004557,Seavessels
zware,2005,HV,Zware lading schip,16,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,146444,230,93324,391004557,Seavessels
zware,2004,HV,Zware lading schip,13,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,118985,187,75826,317691203,Seavessels
zware,2003,HV,Zware lading schip,16,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,146444,230,93324,391004557,Seavessels
zware,2002,HV,Zware lading schip,16,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,146444,230,93324,391004557,Seavessels
zware,2001,HV,Zware lading schip,15,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,137291,216,87491,366566772,Seavessels
zware,2000,HV,Zware lading schip,10,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,91527,144,58328,244377848,Seavessels
zware,1999,HV,Zware lading schip,10,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,91527,144,58328,244377848,Seavessels
zware,1998,HV,Zware lading schip,10,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,91527,144,58328,244377848,Seavessels
zware,1997,HV,Zware lading schip,9,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,82375,130,52495,219940063,Seavessels
