Perioden,Waarde,Onderwerp,Voertuigtype
2008,2668,500000-1000000,binnenvaartschip
2009,2668,500000-1000000,binnenvaartschip
2010,2536,500000-1000000,binnenvaartschip
2011,2607,500000-1000000,binnenvaartschip
2012,2470,500000-1000000,binnenvaartschip
2013,2448,500000-1000000,binnenvaartschip
2014,2365,500000-1000000,binnenvaartschip
2015,2321,500000-1000000,binnenvaartschip
2016,2283,500000-1000000,binnenvaartschip
2017,2226,500000-1000000,binnenvaartschip
2018,2189,500000-1000000,binnenvaartschip
2008,1293,1000000-2000000,binnenvaartschip
2009,1297,1000000-2000000,binnenvaartschip
2010,1280,1000000-2000000,binnenvaartschip
2011,1261,1000000-2000000,binnenvaartschip
2012,1247,1000000-2000000,binnenvaartschip
2013,1228,1000000-2000000,binnenvaartschip
2014,1211,1000000-2000000,binnenvaartschip
2015,1190,1000000-2000000,binnenvaartschip
2016,1178,1000000-2000000,binnenvaartschip
2017,1155,1000000-2000000,binnenvaartschip
2018,1144,1000000-2000000,binnenvaartschip
2008,883,2000000-3000000,binnenvaartschip
2009,923,2000000-3000000,binnenvaartschip
2010,943,2000000-3000000,binnenvaartschip
2011,978,2000000-3000000,binnenvaartschip
2012,976,2000000-3000000,binnenvaartschip
2013,961,2000000-3000000,binnenvaartschip
2014,946,2000000-3000000,binnenvaartschip
2015,949,2000000-3000000,binnenvaartschip
2016,929,2000000-3000000,binnenvaartschip
2017,943,2000000-3000000,binnenvaartschip
2018,923,2000000-3000000,binnenvaartschip
2008,446,3000000-4000000,binnenvaartschip
2009,549,3000000-4000000,binnenvaartschip
2010,623,3000000-4000000,binnenvaartschip
2011,656,3000000-4000000,binnenvaartschip
2012,684,3000000-4000000,binnenvaartschip
2013,702,3000000-4000000,binnenvaartschip
2014,708,3000000-4000000,binnenvaartschip
2015,721,3000000-4000000,binnenvaartschip
2016,717,3000000-4000000,binnenvaartschip
2017,734,3000000-4000000,binnenvaartschip
2018,733,3000000-4000000,binnenvaartschip
