"Onderwerp","Perioden","Eenheid","Waarde"
"||Totaal motorfietsen","2000","aantal","413985"
"||Totaal motorfietsen","2001","aantal","437778"
"||Totaal motorfietsen","2002","aantal","460818"
"||Totaal motorfietsen","2003","aantal","494250"
"||Totaal motorfietsen","2004","aantal","516395"
"||Totaal motorfietsen","2005","aantal","536931"
"||Totaal motorfietsen","2006","aantal","552949"
"||Totaal motorfietsen","2007","aantal","567911"
"||Totaal motorfietsen","2008","aantal","585204"
"||Totaal motorfietsen","2009","aantal","605604"
"||Totaal motorfietsen","2010","aantal","623442"
"||Totaal motorfietsen","2011","aantal","636199"
"||Totaal motorfietsen","2012","aantal","646995"
"||Totaal motorfietsen","2013","aantal","653245"
"||Totaal motorfietsen","2014","aantal","653991"
"||Totaal motorfietsen","2015","aantal","652336"
"||Totaal motorfietsen","2016","aantal","652544"
"||Totaal motorfietsen","2017","aantal","655991"
"||Totaal motorfietsen","2018","aantal","661639"
"||Totaal motorfietsen","2019","aantal","665880"
"-     50 cc","2000","aantal","797"
"-     50 cc","2001","aantal","895"
"-     50 cc","2002","aantal","1033"
"-     50 cc","2003","aantal","1193"
"-     50 cc","2004","aantal","1337"
"-     50 cc","2005","aantal","1530"
"-     50 cc","2006","aantal","1797"
"-     50 cc","2007","aantal","2117"
"-     50 cc","2008","aantal","2348"
"-     50 cc","2009","aantal","2616"
"-     50 cc","2010","aantal","2829"
"-     50 cc","2011","aantal","2997"
"-     50 cc","2012","aantal","3112"
"-     50 cc","2013","aantal","3229"
"-     50 cc","2014","aantal","3251"
"-     50 cc","2015","aantal","3313"
"-     50 cc","2016","aantal","3388"
"-     50 cc","2017","aantal","3480"
"-     50 cc","2018","aantal","3668"
"-     50 cc","2019","aantal","3742"
"51   -   125 cc","2000","aantal","5709"
"51   -   125 cc","2001","aantal","6235"
"51   -   125 cc","2002","aantal","6695"
"51   -   125 cc","2003","aantal","7165"
"51   -   125 cc","2004","aantal","7459"
"51   -   125 cc","2005","aantal","7971"
"51   -   125 cc","2006","aantal","8463"
"51   -   125 cc","2007","aantal","9092"
"51   -   125 cc","2008","aantal","9832"
"51   -   125 cc","2009","aantal","10872"
"51   -   125 cc","2010","aantal","11491"
"51   -   125 cc","2011","aantal","12167"
"51   -   125 cc","2012","aantal","12852"
"51   -   125 cc","2013","aantal","13333"
"51   -   125 cc","2014","aantal","14506"
"51   -   125 cc","2015","aantal","15031"
"51   -   125 cc","2016","aantal","15697"
"51   -   125 cc","2017","aantal","16340"
"51   -   125 cc","2018","aantal","17123"
"51   -   125 cc","2019","aantal","17706"
"126  -  175 cc","2000","aantal","3801"
"126  -  175 cc","2001","aantal","4001"
"126  -  175 cc","2002","aantal","4220"
"126  -  175 cc","2003","aantal","4518"
"126  -  175 cc","2004","aantal","4832"
"126  -  175 cc","2005","aantal","5088"
"126  -  175 cc","2006","aantal","5386"
"126  -  175 cc","2007","aantal","5647"
"126  -  175 cc","2008","aantal","5930"
"126  -  175 cc","2009","aantal","6541"
"126  -  175 cc","2010","aantal","6999"
"126  -  175 cc","2011","aantal","7323"
"126  -  175 cc","2012","aantal","7551"
"126  -  175 cc","2013","aantal","7749"
"126  -  175 cc","2014","aantal","7913"
"126  -  175 cc","2015","aantal","8055"
"126  -  175 cc","2016","aantal","8222"
"126  -  175 cc","2017","aantal","8361"
"126  -  175 cc","2018","aantal","8438"
"126  -  175 cc","2019","aantal","8195"
"176  -  250 cc","2000","aantal","20628"
"176  -  250 cc","2001","aantal","20889"
"176  -  250 cc","2002","aantal","21178"
"176  -  250 cc","2003","aantal","21970"
"176  -  250 cc","2004","aantal","21978"
"176  -  250 cc","2005","aantal","21941"
"176  -  250 cc","2006","aantal","21932"
"176  -  250 cc","2007","aantal","21968"
"176  -  250 cc","2008","aantal","22392"
"176  -  250 cc","2009","aantal","23367"
"176  -  250 cc","2010","aantal","23758"
"176  -  250 cc","2011","aantal","23894"
"176  -  250 cc","2012","aantal","23977"
"176  -  250 cc","2013","aantal","23930"
"176  -  250 cc","2014","aantal","23614"
"176  -  250 cc","2015","aantal","23165"
"176  -  250 cc","2016","aantal","22784"
"176  -  250 cc","2017","aantal","22732"
"176  -  250 cc","2018","aantal","22583"
"176  -  250 cc","2019","aantal","22096"
"251  -  375 cc","2000","aantal","11118"
"251  -  375 cc","2001","aantal","11082"
"251  -  375 cc","2002","aantal","11176"
"251  -  375 cc","2003","aantal","11490"
"251  -  375 cc","2004","aantal","11425"
"251  -  375 cc","2005","aantal","11372"
"251  -  375 cc","2006","aantal","11334"
"251  -  375 cc","2007","aantal","11280"
"251  -  375 cc","2008","aantal","11215"
"251  -  375 cc","2009","aantal","11610"
"251  -  375 cc","2010","aantal","11833"
"251  -  375 cc","2011","aantal","12182"
"251  -  375 cc","2012","aantal","12541"
"251  -  375 cc","2013","aantal","12770"
"251  -  375 cc","2014","aantal","13019"
"251  -  375 cc","2015","aantal","13479"
"251  -  375 cc","2016","aantal","14135"
"251  -  375 cc","2017","aantal","15030"
"251  -  375 cc","2018","aantal","16204"
"251  -  375 cc","2019","aantal","17198"
"376  -  500 cc","2000","aantal","58744"
"376  -  500 cc","2001","aantal","59283"
"376  -  500 cc","2002","aantal","59758"
"376  -  500 cc","2003","aantal","61613"
"376  -  500 cc","2004","aantal","61719"
"376  -  500 cc","2005","aantal","61886"
"376  -  500 cc","2006","aantal","61559"
"376  -  500 cc","2007","aantal","60981"
"376  -  500 cc","2008","aantal","60661"
"376  -  500 cc","2009","aantal","60654"
"376  -  500 cc","2010","aantal","60409"
"376  -  500 cc","2011","aantal","59662"
"376  -  500 cc","2012","aantal","58859"
"376  -  500 cc","2013","aantal","57837"
"376  -  500 cc","2014","aantal","56263"
"376  -  500 cc","2015","aantal","54381"
"376  -  500 cc","2016","aantal","52869"
"376  -  500 cc","2017","aantal","51545"
"376  -  500 cc","2018","aantal","50549"
"376  -  500 cc","2019","aantal","48992"
"501  -  625 cc","2000","aantal","67349"
"501  -  625 cc","2001","aantal","72672"
"501  -  625 cc","2002","aantal","77976"
"501  -  625 cc","2003","aantal","84655"
"501  -  625 cc","2004","aantal","89680"
"501  -  625 cc","2005","aantal","93935"
"501  -  625 cc","2006","aantal","96268"
"501  -  625 cc","2007","aantal","98348"
"501  -  625 cc","2008","aantal","100174"
"501  -  625 cc","2009","aantal","102049"
"501  -  625 cc","2010","aantal","103940"
"501  -  625 cc","2011","aantal","105181"
"501  -  625 cc","2012","aantal","105933"
