Onderwerp,Perioden,Waarde,Vtype
Benzine,2000,5214684,icev
Benzine,2001,5345589,icev
Benzine,2002,5468017,icev
Benzine,2003,5586341,icev
Benzine,2004,5624642,icev
Benzine,2005,5683229,icev
Benzine,2006,5740891,icev
Benzine,2007,5804737,icev
Benzine,2008,5895827,icev
Benzine,2009,5992315,icev
Benzine,2010,6037284,icev
Benzine,2011,6122928,icev
Benzine,2012,6194154,icev
Benzine,2013,6201345,icev
Benzine,2014,6180939,icev
Benzine,2015,6204035,icev
Benzine,2016,6228530,icev
Benzine,2017,6310363,icev
Benzine,2018,6436563,icev
Benzine,2019,6572839,icev
Diesel,2000,797592,icev
Diesel,2001,870862,icev
Diesel,2002,929839,icev
Diesel,2003,978763,icev
Diesel,2004,1022087,icev
Diesel,2005,1068593,icev
Diesel,2006,1117019,icev
Diesel,2007,1183164,icev
Diesel,2008,1249310,icev
Diesel,2009,1273449,icev
Diesel,2010,1283332,icev
Diesel,2011,1288268,icev
Diesel,2012,1315706,icev
Diesel,2013,1325759,icev
Diesel,2014,1299671,icev
Diesel,2015,1289806,icev
Diesel,2016,1290838,icev
Diesel,2017,1276996,icev
Diesel,2018,1267057,icev
Diesel,2019,1231738,icev
LPG,2000,330797,icev
LPG,2001,322485,icev
LPG,2002,312252,icev
LPG,2003,289277,icev
LPG,2004,261609,icev
LPG,2005,238445,icev
LPG,2006,229685,icev
LPG,2007,227181,icev
LPG,2008,223894,icev
LPG,2009,229197,icev
LPG,2010,221535,icev
LPG,2011,210597,icev
LPG,2012,202770,icev
LPG,2013,200947,icev
LPG,2014,184386,icev
LPG,2015,165911,icev
LPG,2016,151692,icev
LPG,2017,139931,icev
LPG,2018,129119,icev
LPG,2019,119465,icev
Elektriciteit,2000,40,ev
Elektriciteit,2001,58,ev
Elektriciteit,2002,436,ev
Elektriciteit,2003,518,ev
Elektriciteit,2004,518,ev
Elektriciteit,2005,1669,ev
Elektriciteit,2006,4612,ev
Elektriciteit,2007,7680,ev
Elektriciteit,2008,11295,ev
Elektriciteit,2009,23387,ev
Elektriciteit,2010,39585,ev
Elektriciteit,2011,55826,ev
Elektriciteit,2012,70140,ev
Elektriciteit,2013,90703,ev
Elektriciteit,2014,129673,ev
Elektriciteit,2015,155938,ev
Elektriciteit,2016,210609,ev
Elektriciteit,2017,245427,ev
Elektriciteit,2018,271785,ev
Elektriciteit,2019,314563,ev
CNG,2000,51,icev
CNG,2001,46,icev
CNG,2002,51,icev
CNG,2003,48,icev
CNG,2004,33,icev
CNG,2005,38,icev
CNG,2006,85,icev
CNG,2007,107,icev
CNG,2008,178,icev
CNG,2009,316,icev
CNG,2010,542,icev
CNG,2011,912,icev
CNG,2012,1942,icev
CNG,2013,3125,icev
CNG,2014,3681,icev
CNG,2015,6706,icev
CNG,2016,7452,icev
CNG,2017,7901,icev
CNG,2018,9001,icev
CNG,2019,9890,icev
Onbekend,2000,0,icev
Onbekend,2001,0,icev
Onbekend,2002,0,icev
Onbekend,2003,0,icev
Onbekend,2004,1,icev
Onbekend,2005,0,icev
Onbekend,2006,1,icev
Onbekend,2007,2,icev
Onbekend,2008,1,icev
Onbekend,2009,1,icev
Onbekend,2010,113,icev
Onbekend,2011,114,icev
Onbekend,2012,2287,icev
Onbekend,2013,2538,icev
Onbekend,2014,2592,icev
Onbekend,2015,2637,icev
Onbekend,2016,2777,icev
Onbekend,2017,2854,icev
Onbekend,2018,3013,icev
Onbekend,2019,3256,icev
HEV,2000,,hev
HEV,2001,,hev
HEV,2002,,hev
HEV,2003,,hev
HEV,2004,,hev
HEV,2005,,hev
HEV,2006,,hev
HEV,2007,7307,hev
HEV,2008,11398,hev
HEV,2009,23666,hev
HEV,2010,39962,hev
HEV,2011,56902,hev
HEV,2012,71714,hev
HEV,2013,91196,hev
HEV,2014,131348,hev
HEV,2015,154050,hev
HEV,2016,208967,hev
HEV,2017,239502,hev
HEV,2018,256707,hev
HEV,2019,278832,hev
