Vtype,Vehiclecount,Vehiclemass,EngineKW,Delivery,Retirement,Lengte,Source,Perioden,Waarde,Class,Onderwerp
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1950,60,Transit,83000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1951,25,Transit,108000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1951,60,Transit,83000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1952,25,Transit,108000
1300serie,16,111,3600,1952,2000,,https://nl.wikipedia.org/wiki/NS_1300_(elektrische_locomotief),1952,16,Transit,111000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1952,60,Transit,83000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1953,25,Transit,108000
1300serie,16,111,3600,1952,2000,,https://nl.wikipedia.org/wiki/NS_1300_(elektrische_locomotief),1953,16,Transit,111000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1953,60,Transit,83000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1954,25,Transit,108000
1300serie,16,111,3600,1952,2000,,https://nl.wikipedia.org/wiki/NS_1300_(elektrische_locomotief),1954,16,Transit,111000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1954,60,Transit,83000
1500serie,7,100,2185,1954,1986,,https://nl.wikipedia.org/wiki/NS_1500_(elektrische_locomotief),1954,7,Transit,100000
NS20,1,58,210,1954,1991,26,https://nl.wikipedia.org/wiki/Kameel_(spoorwegmaterieel),1954,1,Transit,58000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1955,25,Transit,108000
1300serie,16,111,3600,1952,2000,,https://nl.wikipedia.org/wiki/NS_1300_(elektrische_locomotief),1955,16,Transit,111000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1955,60,Transit,83000
1500serie,7,100,2185,1954,1986,,https://nl.wikipedia.org/wiki/NS_1500_(elektrische_locomotief),1955,7,Transit,100000
NS20,1,58,210,1954,1991,26,https://nl.wikipedia.org/wiki/Kameel_(spoorwegmaterieel),1955,1,Transit,58000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1956,25,Transit,108000
1300serie,16,111,3600,1952,2000,,https://nl.wikipedia.org/wiki/NS_1300_(elektrische_locomotief),1956,16,Transit,111000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1956,60,Transit,83000
1500serie,7,100,2185,1954,1986,,https://nl.wikipedia.org/wiki/NS_1500_(elektrische_locomotief),1956,7,Transit,100000
NS20,1,58,210,1954,1991,26,https://nl.wikipedia.org/wiki/Kameel_(spoorwegmaterieel),1956,1,Transit,58000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1957,25,Transit,108000
1300serie,16,111,3600,1952,2000,,https://nl.wikipedia.org/wiki/NS_1300_(elektrische_locomotief),1957,16,Transit,111000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1957,60,Transit,83000
1500serie,7,100,2185,1954,1986,,https://nl.wikipedia.org/wiki/NS_1500_(elektrische_locomotief),1957,7,Transit,100000
NS20,1,58,210,1954,1991,26,https://nl.wikipedia.org/wiki/Kameel_(spoorwegmaterieel),1957,1,Transit,58000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1958,25,Transit,108000
1300serie,16,111,3600,1952,2000,,https://nl.wikipedia.org/wiki/NS_1300_(elektrische_locomotief),1958,16,Transit,111000
1100serie,60,83,2030,1950,1999,,https://nl.wikipedia.org/wiki/NS_1100_(elektrische_locomotief),1958,60,Transit,83000
1500serie,7,100,2185,1954,1986,,https://nl.wikipedia.org/wiki/NS_1500_(elektrische_locomotief),1958,7,Transit,100000
NS20,1,58,210,1954,1991,26,https://nl.wikipedia.org/wiki/Kameel_(spoorwegmaterieel),1958,1,Transit,58000
1200serie,25,108,2400,1951,1998,,https://nl.wikipedia.org/wiki/1200_(elektrische_locomotief),1959,25,Transit,108000
