"Aircraft:Ballonvaartuigen","balloon"
"Aircraft:||4-motorig","B747"
"Aircraft:||2-motorig","A330"
"Personalcar:Elektriciteit","evcar"
"Personalcar:Benzine","icecar"
"Personalcar:CNG","icecar"
"Personalcar:Diesel","icecar"
"Personalcar:LPG","icecar"
"Personalcar:Benzine","icecar"
"Personalcar:Overig/Onbekend","icecar"
"Bestelauto:1249","icevan"
"Bestelauto:1749","icevan"
"Bestelauto:2249","icevan"
"Bestelauto:250","icevan"
"Bestelauto:2749","icevan"
"Bestelauto:3249","icevan"
"Bestelauto:749","icevan"
"Trekker voor oplegger:10249","lorry28t"
"Trekker voor oplegger:10749","lorry28t"
"Trekker voor oplegger:11249","lorry28t"
"Trekker voor oplegger:11749","lorry40t"
"Trekker voor oplegger:12249","lorry40t"
"Trekker voor oplegger:1249","lorry16t"
"Trekker voor oplegger:12749","lorry40t"
"Trekker voor oplegger:1749","lorry16t"
"Trekker voor oplegger:2249","lorry16t"
"Trekker voor oplegger:250","lorry16t"
"Trekker voor oplegger:2749","lorry16t"
"Trekker voor oplegger:3249","lorry16t"
"Trekker voor oplegger:3749","lorry16t"
"Trekker voor oplegger:4249","lorry16t"
"Trekker voor oplegger:4749","lorry16t"
"Trekker voor oplegger:5249","lorry16t"
"Trekker voor oplegger:5749","lorry16t"
"Trekker voor oplegger:6249","lorry16t"
"Trekker voor oplegger:6749","lorry16t"
"Trekker voor oplegger:7249","lorry16t"
"Trekker voor oplegger:749","lorry16t"
"Trekker voor oplegger:7749","lorry16t"
"Trekker voor oplegger:8249","lorry28t"
"Trekker voor oplegger:8749","lorry28t"
"Trekker voor oplegger:9249","lorry28t"
"Trekker voor oplegger:9749","lorry28t"
"Inlandvessel:1500000","hmaxin"
"Inlandvessel:2500000","hmaxin"
"Inlandvessel:3500000","hmaxin"
"Inlandvessel:750000","hmaxin"
"Bus:10000","bus"
"Bus:10249","bus"
"Bus:10749","bus"
"Bus:11249","bus"
"Bus:11749","bus"
"Bus:12249","bus"
"Bus:1249","bus"
"Bus:12749","bus"
"Bus:13249","bus"
"Bus:13749","bus"
"Bus:14249","bus"
"Bus:14749","bus"
"Bus:15249","bus"
"Bus:15749","bus"
"Bus:1749","bus"
"Bus:17999","bus"
"Bus:2249","bus"
"Bus:22499","bus"
"Bus:250","bus"
"Bus:2749","bus"
"Bus:27499","bus"
"Bus:3249","bus"
"Bus:3749","bus"
"Bus:40000","bus"
"Bus:4249","bus"
"Bus:4749","bus"
"Bus:5249","bus"
"Bus:5749","bus"
"Bus:6249","bus"
"Bus:6749","bus"
"Bus:7249","bus"
"Bus:749","bus"
"Bus:7749","bus"
"Bus:8249","bus"
"Bus:8749","bus"
"Bus:9249","bus"
"Bus:9749","bus"
"Sea Barge","hmax"
"Bulk Carrier","bulker"
"Transport ponton","hmax"
"Werk ponton","hmax"
"Splijtbak / Omnibarge","hmax"
"Container schip","tanker"
"Gas tanker","tanker"
"Multi purpose vessel","bulker"
"Overig","hmax"
"Waterbouw schip","hmax"
"Bagger schip","hmax"
"Zuiger schip","hmax"
"Steen storter schip","hmax"
"Offshore support vessel","hmax"
"Boorvaartuig","hmax"
"Sleephopper zuiger","hmax"
"Snijkop zuiger","hmax"
"Personeelsvervoer","hmax"
"Cruise schip","hmax"
"Bruine vloot","hmax"
"Ro-Ro  Vessel","hmax"
"Veer schip","hmax"
"Bevoorradings schip","hmax"
"Werk schip","hmax"
"Bergings schip","hmax"
"Meet- en peil vaartuig","hmax"
"Overheids schip","hmax"
"Koel schip","hmax"
"Zware lading schip","hmax"
"Vissers schip","hmax"
"Olie/chemicalien tanker","tanker"
"Kust en zeesleepboot","hmax"
""ICM","ptrain"
"SM90","ptrain"
"SGM","ptrain"
"mP","ptrain"
"SLT","ptrain"
"IRM","ptrain"
"DDAR","ptrain"
"DDM1","ptrain"
"mDDM","ptrain"
"ICK","ptrain"
"V250","ptrain"
"ICR","ptrain"
"GTW","ptrain"
"Protos","ptrain"
"PlanT","ptrain"
"PlanV","ptrain"
"LINT42","ptrain"
"A32","ptrain"
"DM90","ptrain"
"BDs","ptrain"
"1200serie","locomotive"
"1600serie","locomotive"
"1700serie","locomotive"
"DH","ptrain"
"1300serie","locomotive"
"1800serie","locomotive"
"6400serie","locomotive"
"ICE","ptrain"
"ICL","ptrain"
"PlanU","ptrain"
"1100serie","locomotive"
"1400serie","locomotive"
"1500serie","locomotive"
"DDZ","ptrain"
"Thalys","ptrain"
"Talent","ptrain"
"NS20","ptrain"
"TRAXX","ptrain"
"FLIRT3","ptrain"
"e320","ptrain"
"SNG","ptrain"
"ICNG","ptrain"
