Material Group,Material,Unitmass,Vehicle,Class,Component Group,Component,Part Name,A330mass,Partmass,Simapro Material Name,Scaledmass
Material Group,,,A330,Aircraft,Avg2jetPlane,Avg2jetPlane,Avg2jetPlane,99840.1,57103,,
Ferrous metals,Iron,2.036456E-03,A330,Aircraft,Engine,GE CF6- 80E2,GE CF6-80E2,207.36,0.002076920997,"Iron-nickel-chromium alloy, at plant/RER U",118.5984197
Nonferrous metals,Nickel,5.175993E-03,A330,Aircraft,Engine,GE CF6- 80E3,GE CF6-80E3,527.04,0.005278840867,"Iron-nickel-chromium alloy, at plant/RER U",301.43765
Ferrous metals,Chromium,1.272785E-03,A330,Aircraft,Engine,GE CF6- 80E4,GE CF6-80E4,129.6,0.001298075623,"Iron-nickel-chromium alloy, at plant/RER U",74.1240123
Nonferrous metals,Aluminium,1.233459E-03,A330,Aircraft,Engine,GE CF6- 80E5,GE CF6-80E5,125.5956635,0.001257968126,"Aluminium alloy, AlMg3, at plant/RER U",71.83375392
"Critical Raw Materials, CRM",Magnesium,3.333247E-03,A330,Aircraft,Engine,GE CF6- 80E6,GE CF6-80E6,339.4043365,0.003399479132,"Aluminium alloy, AlMg3, at plant/RER U",194.1204569
Composites,Composites,2.121309E-03,A330,Aircraft,Engine,GE CF6- 80E3,GE CF6-80E1,216,0.002163459372,Composites,123.5400205
Nonferrous metals,Titanium,1.260804E-02,A330,Aircraft,Engine,GE CF6- 80E5,GE CF6-80E2,1283.8,0.01285856084,"Titanium zinc plate, without pre-weathering, at plant/DE U",734.2623996
Nonferrous metals,Zinc,1.286534E-04,A330,Aircraft,Engine,GE CF6- 80E6,GE CF6-80E3,13.1,0.0001312098045,"Titanium zinc plate, without pre-weathering, at plant/DE U",7.492473465
Nonferrous metals,Copper,1.286534E-04,A330,Aircraft,Engine,GE CF6- 80E7,GE CF6-80E4,13.1,0.0001312098045,"Titanium zinc plate, without pre-weathering, at plant/DE U",7.492473465
Nonferrous metals,Nickel,1.447597E-02,A330,Aircraft,Engine,GE CF6- 80E5,GE CF6-80E1,1474,0.01476360701,"Nickel, 99,5%, at plant/DE U",843.046251
Ferrous metals,Chromium,4.389930E-03,A330,Aircraft,Engine,GE CF6- 80E6,GE CF6-80E1,447,0.004477158977,"Chromium, at regional storage/RER U",255.6592091
Nonferrous metals,Molybdenum,7.463863E-04,A330,Aircraft,Engine,GE CF6- 80E7,GE CF6-80E1,76,0.0007612171863,"Molybdenite, at plant/GLO U",43.46778499
Ferrous metals,Iron,4.478318E-03,A330,Aircraft,Engine,GE CF6- 80E8,GE CF6-80E1,456,0.004567303118,"Cast iron, at plant/GLO U",260.8067099
"Critical Raw Materials, CRM",Niobium and tantalum,9.231621E-04,A330,Aircraft,Engine,GE CF6- 80E9,GE CF6-80E1,94,0.0009415054672,"Tantalum, powder, capacitor-grade, at regional storage/GLO",53.7627867
Composites,Composites,1.379833E-03,A330,Aircraft,Engine,Parts,inlet cowl,140.5,0.001407250193,Composites,80.35820777
Nonferrous metals,Titanium,1.379833E-03,A330,Aircraft,Engine,Parts,inlet cowl,140.5,0.001407250193,"Titanium zinc plate, without pre-weathering, at plant/DE U",80.35820777
Composites,Composites,6.138046E-04,A330,Aircraft,Engine,Parts,fan cowl,62.5,0.0006260009756,Composites,35.74653371
