Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Ferrous metals,Steel,9.1044E-02,ev,Cars,Body,Body-in-white,100%
Ferrous metals,Steel,2.9081E-02,ev,Cars,Body,Body panels,100%
Ferrous metals,Steel,3.6352E-03,ev,Cars,Body,Front/rear bumpers,100%
Polymers,Plastic,3.2644E-03,ev,Cars,Body,Body hardware,89.8%
Ferrous metals,Steel,1.9266E-04,ev,Cars,Body,Body hardware,5.3%
Polymers,Rubber,8.3609E-05,ev,Cars,Body,Body hardware,2.3%
Nonferrous metals,Copper,7.2703E-05,ev,Cars,Body,Body hardware,2%
Composites,Glass,2.1811E-05,ev,Cars,Body,Body hardware,0.6%
Ferrous metals,Steel,1.8176E-03,ev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
Polymers,Plastic,1.8176E-03,ev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
Ferrous metals,Steel,1.8176E-03,ev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Polymers,Plastic,1.8176E-03,ev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Composites,Glass,1.4541E-02,ev,Cars,Body,Glass,100%
Paint,Paint,4.2961E-03,ev,Cars,Exterior,Paint,100%
Polymers,Plastic,3.4025E-03,ev,Cars,Exterior,Exterior trim,93.6%
Ferrous metals,Steel,1.5631E-04,ev,Cars,Exterior,Exterior trim,4.3%
Polymers,Rubber,5.4527E-05,ev,Cars,Exterior,Exterior trim,1.5%
Organic,Organic,2.1811E-05,ev,Cars,Exterior,Exterior trim,0.6%
Polymers,Rubber,6.6094E-04,ev,Cars,Exterior,Sealers/deadeners,100%
Polymers,Plastic,2.1447E-03,ev,Cars,Exterior,Exterior electrical,59%
Nonferrous metals,Copper,1.4904E-03,ev,Cars,Exterior,Exterior electrical,41%
Ferrous metals,Steel,4.0284E-03,ev,Cars,Interior,Instrument panel,46%
Polymers,Plastic,4.1160E-03,ev,Cars,Interior,Instrument panel,47%
Organic,Organic,3.5030E-04,ev,Cars,Interior,Instrument panel,4%
Nonferrous metals,"Aluminium, wrought alloy",8.7574E-05,ev,Cars,Interior,Instrument panel,1%
Polymers,Rubber,8.7574E-05,ev,Cars,Interior,Instrument panel,1%
"Critical Raw Materials, CRM",Magnesium,8.7574E-05,ev,Cars,Interior,Instrument panel,1%
Polymers,Plastic,5.4408E-03,ev,Cars,Interior,Trim & insulation,67.2%
Ferrous metals,Steel,2.3885E-03,ev,Cars,Interior,Trim & insulation,29.5%
Organic,Organic,2.5909E-04,ev,Cars,Interior,Trim & insulation,3.2%
Nonferrous metals,"Aluminium, wrought alloy",8.0965E-06,ev,Cars,Interior,Trim & insulation,0.1%
Polymers,Plastic,5.9344E-03,ev,Cars,Interior,Door modules,65.3%
Organic,Organic,2.9627E-03,ev,Cars,Interior,Door modules,32.6%
Ferrous metals,Steel,1.6358E-04,ev,Cars,Interior,Door modules,1.8%
Composites,Glass,2.7264E-05,ev,Cars,Interior,Door modules,0.3%
Ferrous metals,Steel,1.2650E-02,ev,Cars,Interior,Seating & restraint,58%
Polymers,Plastic,8.5063E-03,ev,Cars,Interior,Seating & restraint,39%
Organic,Organic,6.5433E-04,ev,Cars,Interior,Seating & restraint,3%
Material Group,,0.0000E+00,ev,Cars,Interior,Seating & restraint,
Ferrous metals,Steel,4.0859E-03,ev,Cars,Interior,HVAC,56.2%
Nonferrous metals,"Aluminium, wrought alloy",1.5631E-03,ev,Cars,Interior,HVAC,21.5%
Nonferrous metals,Copper,1.2141E-03,ev,Cars,Interior,HVAC,16.7%
Polymers,Plastic,1.7449E-04,ev,Cars,Interior,HVAC,2.4%
Polymers,Rubber,1.4541E-04,ev,Cars,Interior,HVAC,2%
Nonferrous metals,Zinc,3.6352E-05,ev,Cars,Interior,HVAC,0.5%
Other,Other,5.0892E-05,ev,Cars,Interior,HVAC,0.7%
Polymers,Plastic,2.1447E-03,ev,Cars,Interior,Interior electrical,59%
Nonferrous metals,Copper,1.4904E-03,ev,Cars,Interior,Interior electrical,41%
Ferrous metals,Steel,1.8176E-03,ev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
Polymers,Plastic,1.8176E-03,ev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
Ferrous metals,"Iron, cast",0.0000E+00,ev,Cars,Powertrain,Engine,50%
Nonferrous metals,"Aluminium, cast alloy",0.0000E+00,ev,Cars,Powertrain,Engine,30%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Powertrain,Engine,10%
Polymers,Plastic,0.0000E+00,ev,Cars,Powertrain,Engine,4.5%
Polymers,Rubber,0.0000E+00,ev,Cars,Powertrain,Engine,4.5%
Nonferrous metals,Copper,0.0000E+00,ev,Cars,Powertrain,Engine,1%
Material Group,,0.0000E+00,ev,Cars,Powertrain,Engine,
Composites,Carbon Fiber Composite,0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,62.8%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,23.2%
Polymers,Perfluorosulfonic Acid,0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,5.4%
Minerals,Carbon Paper,0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,5.0%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,1.5%
Polymers,Polytetrafluoroethylene,0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,1.4%
Polymers,Carbon/Perfluorosulfonic Acid Suspension,0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,0.6%
"Critical Raw Materials, CRM",Platinum,0.0000E+00,ev,Cars,Powertrain,Fuel cell stack,0.1%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Powertrain,Engine fuel storage system,100%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Powertrain,Powertrain thermal,50%
Polymers,Plastic,0.0000E+00,ev,Cars,Powertrain,Powertrain thermal,50%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Powertrain,Exhaust,99.985%
"Critical Raw Materials, CRM",Platinum,0.0000E+00,ev,Cars,Powertrain,Exhaust,0.015%
Polymers,Plastic,2.1447E-03,ev,Cars,Powertrain,Powertrain electrical,59%
Nonferrous metals,Copper,1.4904E-03,ev,Cars,Powertrain,Powertrain electrical,41%
Polymers,Plastic,0.0000E+00,ev,Cars,Powertrain,Emission control electronics,59%
Nonferrous metals,Copper,0.0000E+00,ev,Cars,Powertrain,Emission control electronics,41%
Ferrous metals,Steel,3.6352E-03,ev,Cars,Powertrain,Weld blanks and fasteners (powertrain to body),100%
Ferrous metals,Steel,0.0000E+00,ev,Cars,Powertrain,Transmission (ICEV),30%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,ev,Cars,Powertrain,Transmission (ICEV),30%
Ferrous metals,"Iron, cast",0.0000E+00,ev,Cars,Powertrain,Transmission (ICEV),30%
Polymers,Plastic,0.0000E+00,ev,Cars,Powertrain,Transmission (ICEV),5%
Polymers,Rubber,0.0000E+00,ev,Cars,Powertrain,Transmission (ICEV),5%
Ferrous metals,Steel,8.2973E-03,ev,Cars,Powertrain,Transmission (HEV/FCV),60.5%
