Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
"Metals, ferrous",Steel,1.4074E-01,evan,Utilitycars,Body,Body-in-white,100%
"Metals, ferrous",Steel,4.4955E-02,evan,Utilitycars,Body,Body panels,100%
"Metals, ferrous",Steel,5.6194E-03,evan,Utilitycars,Body,Front/rear bumpers,100%
Polymers,Plastic,5.0462E-03,evan,Utilitycars,Body,Body hardware,89.8%
"Metals, ferrous",Steel,2.9783E-04,evan,Utilitycars,Body,Body hardware,5.3%
Polymers,Rubber,1.2925E-04,evan,Utilitycars,Body,Body hardware,2.3%
Copper,Copper,1.1239E-04,evan,Utilitycars,Body,Body hardware,2%
Glass,Glass,3.3716E-05,evan,Utilitycars,Body,Body hardware,0.6%
"Metals, ferrous",Steel,2.8097E-03,evan,Utilitycars,Body,Weld blanks and fasteners (electronics to body),50%
Polymers,Plastic,2.8097E-03,evan,Utilitycars,Body,Weld blanks and fasteners (electronics to body),50%
"Metals, ferrous",Steel,2.8097E-03,evan,Utilitycars,Body,Weld blanks and fasteners (other systems to body),50%
Polymers,Plastic,2.8097E-03,evan,Utilitycars,Body,Weld blanks and fasteners (other systems to body),50%
Glass,Glass,2.2478E-02,evan,Utilitycars,Body,Glass,100%
Paint,Paint,6.6411E-03,evan,Utilitycars,Exterior,Paint,100%
Polymers,Plastic,5.2598E-03,evan,Utilitycars,Exterior,Exterior trim,93.6%
"Metals, ferrous",Steel,2.4163E-04,evan,Utilitycars,Exterior,Exterior trim,4.3%
Polymers,Rubber,8.4291E-05,evan,Utilitycars,Exterior,Exterior trim,1.5%
Organic,Organic,3.3716E-05,evan,Utilitycars,Exterior,Exterior trim,0.6%
Polymers,Rubber,1.0217E-03,evan,Utilitycars,Exterior,Sealers/deadeners,100%
Polymers,Plastic,3.3155E-03,evan,Utilitycars,Exterior,Exterior electrical,59%
Copper,Copper,2.3040E-03,evan,Utilitycars,Exterior,Exterior electrical,41%
"Metals, ferrous",Steel,6.2273E-03,evan,Utilitycars,Interior,Instrument panel,46%
Polymers,Plastic,6.3627E-03,evan,Utilitycars,Interior,Instrument panel,47%
Organic,Organic,5.4151E-04,evan,Utilitycars,Interior,Instrument panel,4%
Aluminium,"Aluminium, wrought alloy",1.3538E-04,evan,Utilitycars,Interior,Instrument panel,1%
Polymers,Rubber,1.3538E-04,evan,Utilitycars,Interior,Instrument panel,1%
