Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
"Metals, ferrous",Steel,1.8095E-01,hev,Cars,Body,Body-in-white,100%
"Metals, ferrous",Steel,5.7800E-02,hev,Cars,Body,Body panels,100%
"Metals, ferrous",Steel,7.2250E-03,hev,Cars,Body,Front/rear bumpers,100%
Polymers,Plastic,6.4880E-03,hev,Cars,Body,Body hardware,89.8%
"Metals, ferrous",Steel,3.8292E-04,hev,Cars,Body,Body hardware,5.3%
Polymers,Rubber,1.6617E-04,hev,Cars,Body,Body hardware,2.3%
Copper,Copper,1.4450E-04,hev,Cars,Body,Body hardware,2%
Glass,Glass,4.3350E-05,hev,Cars,Body,Body hardware,0.6%
"Metals, ferrous",Steel,3.6125E-03,hev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
Polymers,Plastic,3.6125E-03,hev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
"Metals, ferrous",Steel,3.6125E-03,hev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Polymers,Plastic,3.6125E-03,hev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Glass,Glass,2.8900E-02,hev,Cars,Body,Glass,100%
Paint,Paint,8.5386E-03,hev,Cars,Exterior,Paint,100%
Polymers,Plastic,6.7626E-03,hev,Cars,Exterior,Exterior trim,93.6%
"Metals, ferrous",Steel,3.1067E-04,hev,Cars,Exterior,Exterior trim,4.3%
Polymers,Rubber,1.0837E-04,hev,Cars,Exterior,Exterior trim,1.5%
Organic,Organic,4.3350E-05,hev,Cars,Exterior,Exterior trim,0.6%
Polymers,Rubber,1.3136E-03,hev,Cars,Exterior,Sealers/deadeners,100%
Polymers,Plastic,4.2627E-03,hev,Cars,Exterior,Exterior electrical,59%
Copper,Copper,2.9622E-03,hev,Cars,Exterior,Exterior electrical,41%
"Metals, ferrous",Steel,8.0066E-03,hev,Cars,Interior,Instrument panel,46%
Polymers,Plastic,8.1806E-03,hev,Cars,Interior,Instrument panel,47%
Organic,Organic,6.9622E-04,hev,Cars,Interior,Instrument panel,4%
Aluminium,"Aluminium, wrought alloy",1.7406E-04,hev,Cars,Interior,Instrument panel,1%
