Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Ferrous metals,Steel,1.6809E-01,icev,Cars,Body,Body-in-white,100%
Ferrous metals,Steel,5.3691E-02,icev,Cars,Body,Body panels,100%
Ferrous metals,Steel,6.7114E-03,icev,Cars,Body,Front/rear bumpers,100%
Polymers,Plastic,6.0268E-03,icev,Cars,Body,Body hardware,89.8%
Ferrous metals,Steel,3.5570E-04,icev,Cars,Body,Body hardware,5.3%
Polymers,Rubber,1.5436E-04,icev,Cars,Body,Body hardware,2.3%
Nonferrous metals,Copper,1.3423E-04,icev,Cars,Body,Body hardware,2%
Composites,Glass,4.0268E-05,icev,Cars,Body,Body hardware,0.6%
Ferrous metals,Steel,3.3557E-03,icev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
Polymers,Plastic,3.3557E-03,icev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
Ferrous metals,Steel,3.3557E-03,icev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Polymers,Plastic,3.3557E-03,icev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Composites,Glass,2.6846E-02,icev,Cars,Body,Glass,100%
Paint,Paint,7.9317E-03,icev,Cars,Exterior,Paint,100%
Polymers,Plastic,6.2819E-03,icev,Cars,Exterior,Exterior trim,93.6%
Ferrous metals,Steel,2.8859E-04,icev,Cars,Exterior,Exterior trim,4.3%
Polymers,Rubber,1.0067E-04,icev,Cars,Exterior,Exterior trim,1.5%
Organic,Organic,4.0268E-05,icev,Cars,Exterior,Exterior trim,0.6%
Polymers,Rubber,1.2203E-03,icev,Cars,Exterior,Sealers/deadeners,100%
Polymers,Plastic,3.9597E-03,icev,Cars,Exterior,Exterior electrical,59%
Nonferrous metals,Copper,2.7517E-03,icev,Cars,Exterior,Exterior electrical,41%
Ferrous metals,Steel,7.4375E-03,icev,Cars,Interior,Instrument panel,46%
Polymers,Plastic,7.5991E-03,icev,Cars,Interior,Instrument panel,47%
Organic,Organic,6.4674E-04,icev,Cars,Interior,Instrument panel,4%
Nonferrous metals,"Aluminium, wrought alloy",1.6168E-04,icev,Cars,Interior,Instrument panel,1%
Polymers,Rubber,1.6168E-04,icev,Cars,Interior,Instrument panel,1%
"Critical Raw Materials, CRM",Magnesium,1.6168E-04,icev,Cars,Interior,Instrument panel,1%
Polymers,Plastic,1.0045E-02,icev,Cars,Interior,Trim & insulation,67.2%
Ferrous metals,Steel,4.4097E-03,icev,Cars,Interior,Trim & insulation,29.5%
Organic,Organic,4.7834E-04,icev,Cars,Interior,Trim & insulation,3.2%
Nonferrous metals,"Aluminium, wrought alloy",1.4948E-05,icev,Cars,Interior,Trim & insulation,0.1%
Polymers,Plastic,1.0956E-02,icev,Cars,Interior,Door modules,65.3%
Organic,Organic,5.4698E-03,icev,Cars,Interior,Door modules,32.6%
Ferrous metals,Steel,3.0201E-04,icev,Cars,Interior,Door modules,1.8%
Composites,Glass,5.0336E-05,icev,Cars,Interior,Door modules,0.3%
Ferrous metals,Steel,2.3356E-02,icev,Cars,Interior,Seating & restraint,58%
Polymers,Plastic,1.5705E-02,icev,Cars,Interior,Seating & restraint,39%
Organic,Organic,1.2081E-03,icev,Cars,Interior,Seating & restraint,3%
Material Group,,0.0000E+00,icev,Cars,Interior,Seating & restraint,
Ferrous metals,Steel,7.5436E-03,icev,Cars,Interior,HVAC,56.2%
Nonferrous metals,"Aluminium, wrought alloy",2.8859E-03,icev,Cars,Interior,HVAC,21.5%
Nonferrous metals,Copper,2.2416E-03,icev,Cars,Interior,HVAC,16.7%
Polymers,Plastic,3.2215E-04,icev,Cars,Interior,HVAC,2.4%
Polymers,Rubber,2.6846E-04,icev,Cars,Interior,HVAC,2%
Nonferrous metals,Zinc,6.7114E-05,icev,Cars,Interior,HVAC,0.5%
Other,Other,9.3960E-05,icev,Cars,Interior,HVAC,0.7%
Polymers,Plastic,3.9597E-03,icev,Cars,Interior,Interior electrical,59%
Nonferrous metals,Copper,2.7517E-03,icev,Cars,Interior,Interior electrical,41%
Ferrous metals,Steel,3.3557E-03,icev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
Polymers,Plastic,3.3557E-03,icev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
