Material Group,Material,Unitmass,Vehicle,Class,Source,Flow ID,Ecoinvent Flow,Ecoinvmass,Unit,Part
Material Group,,,lorry16t,Utilitycars,Ecoinvent,Lorry16t,-,6424.8,,Lorry
"Metals, ferrous",Steel,1.77437E-03,lorry16t,Utilitycars,Ecoinvent,[G330],"steel, low-alloyed, hot rolled_market for steel, low-alloyed, hot rolled[GLO]",11.4,kilogram,Lorry
Material Group,,,lorry16t,Utilitycars,Ecoinvent,[G621],"electronics, for control units_market for electronics, for control units[GLO]",30,kilogram,Lorry
Paint,Paint,6.22587E-03,lorry16t,Utilitycars,Ecoinvent,[G1028],"alkyd paint, white, without solvent, in 60% solution state_market for alkyd paint, white, without solvent, in 60% solution state[GLO]",40,kilogram,Lorry
Aluminium,Aluminium,1.07085E-02,lorry16t,Utilitycars,Ecoinvent,[G3058],"aluminium, cast alloy_market for aluminium, cast alloy[GLO]",68.8,kilogram,Lorry
"Metals, ferrous","Iron, pig",2.53704E-01,lorry16t,Utilitycars,Ecoinvent,[G3339],pig iron_market for pig iron[GLO],1.63E+03,kilogram,Lorry
"Metals, other nonferrous",Lead,1.14556E-02,lorry16t,Utilitycars,Ecoinvent,[G3787],lead_market for lead[GLO],73.6,kilogram,Lorry
Polymers,Polyethylene,3.57988E-02,lorry16t,Utilitycars,Ecoinvent,[G3952],"polyethylene, high density, granulate_market for polyethylene, high density, granulate[GLO]",230,kilogram,Lorry
Copper,Brass,3.11294E-03,lorry16t,Utilitycars,Ecoinvent,[G4640],brass_market for brass[CH],20,kilogram,Lorry
"Metals, ferrous","Steel, reinforcing",3.51762E-01,lorry16t,Utilitycars,Ecoinvent,[G5916],reinforcing steel_market for reinforcing steel[GLO],2.26E+03,kilogram,Lorry
Copper,Copper,4.66941E-03,lorry16t,Utilitycars,Ecoinvent,[G5949],copper_market for copper[GLO],30,kilogram,Lorry
