Material Group,Material
Ferrous metals,"Steel, low alloy"
Paint,Alkyd paint
Aluminium,"Aluminium, cast alloy"
Ferrous metals,"Iron, pig"
Other nonferrous metals,Lead
Polymers,"Polyethylene, high density"
Copper,Brass
Polymers,Propylene glycol
Ferrous metals,"Steel, reinforcing"
Copper,Copper
Ferrous metals,"Iron, cast"
Insulation,Stone wool
Polymers,Pitch
Polymers,Rubber
Glass,Glass
Ferrous metals,"Steel, chromium"
Polymers,Polyester
Organic,Wood
Ferrous metals,Steel
Unknown,Unknown
Minerals,Minerals
Polymers,Plastic
Ferrous metals,Chromium steel
Polymers,Polyurethane
Polymers,Polyethylene
Aluminium,Aluminium
Polymers,Nylon
Organic,Rattan
Paint,Paint
Organic,Organic
Aluminium,"Aluminium, wrought alloy"
"Critical Raw Materials, CRM",Magnesium
Other nonferrous metals,Zinc
Unknown,Other
Composites,Carbon Fiber Composite
Polymers,Perfluorosulfonic Acid
Minerals,Carbon Paper
Polymers,Polytetrafluoroethylene
Polymers,Carbon/Perfluorosulfonic Acid Suspension
"Critical Raw Materials, CRM",Platinum
Ferrous metals,Iron
Ceramics,Friction Material
Organic,Water
Chemicals,Sulfuric Acid
Composites,Fiberglass
Other nonferrous metals,Nickel
"Critical Raw Materials, CRM",Rare Earth Metals
"Critical Raw Materials, CRM",Cobalt
"Critical Raw Materials, CRM",LiMn2O4
"Critical Raw Materials, CRM",Graphite
Polymers,Ethylene Carbonate
Polymers,Dimethyl Carbonate
Polymers,Glycol
Polymers,Binder
"Critical Raw Materials, CRM",LiPF6
Minerals,Electronicparts
Insulation,Thermal Insulation
Other nonferrous metals,Titanium
Composites,Composites
Polymers,Polymers
Unknown,Uknown
Ferrous metals,Ferrous metal
Polymers,Polypropylene
Minerals,Barite
Ferrous metals,Chromium
Other nonferrous metals,Gold
Other nonferrous metals,Molybdenum
"Critical Raw Materials, CRM",Palladium
Polymers,Polyvinylchloride
Minerals,Selenium
Minerals,Silica
Minerals,Silicon
Other nonferrous metals,Silver
Other nonferrous metals,Tin
Polymers,Ethylene
Polymers,"Rubber, synthetic"
Polymers,Polyphenylene Sulfide
"Critical Raw Materials, CRM",Neodymium
Ferrous metals,Ferrous alloys
"Critical Raw Materials, CRM",Niobium and tantalum
Ferrous metals,Ferrousmetal
Polymers,Polyvinylfluoride
Polymers,Phthalic Anhydride
Chemicals,Boron
Polymers,Resin
Chemicals,Chemical
Polymers,Epoxy
Other nonferrous metals,Tin
Copper,Bronze
Other nonferrous metals,Circuitboard
Minerals,Electronic
Polymers,EPDM
Polymers,ABS
Polymers,Polymethylmethacrylate
Polymers,ASA
Polymers,Polystyrene
Polymers,PET
Ferrous metals,Metal
Minerals,Barium sulphate
Glass,Glassfibre
Ceramics,Ceramic
Textiles,Textile
Chemicals,Sulphur
Polymers,Emulsion
