Year,Cycling,Walking,Transit,Driving,Total
2010,    0.0864,    0.0301,    0.1153,    0.7682,   10 248
2011,    0.0931,    0.0276,    0.1257,    0.7536,   10 364
2012,    0.0942,    0.0287,    0.1240,    0.7532,   9 982
2013,    0.0893,    0.0277,    0.1294,    0.7536,   10 349
2014,    0.1007,    0.0291,    0.1224,    0.7479,   10 361
2015,    0.0957,    0.0285,    0.1254,    0.7505,   9 940
2016,    0.0928,    0.0278,    0.1302,    0.7491,   9 958
2017,    0.0917,    0.0284,    0.1376,    0.7423,   9 801
2030,,,,,   12 679
2050,0.200,0.050,0.650,0.100,   14 248
