Component Group,Component,Part Name,A330mass,Partmass,Material,Simapro Material Name,Unitmass,Class
Avg2jetPlane,Avg2jetPlane,Avg2jetPlane,99840.1,57103,,,,Airplanes
Engine,GE CF6- 80E1,GE CF6-80E1,864,0.008653837486,Ferrous alloys,"Iron-nickel-chromium alloy, at plant/RER U",494.160082,Airplanes
Engine,GE CF6- 80E2,GE CF6-80E1,465,0.004657447258,Aluminium,"Aluminium alloy, AlMg3, at plant/RER U",265.9542108,Airplanes
Engine,GE CF6- 80E3,GE CF6-80E1,216,0.002163459372,Composites,Composites,123.5400205,Airplanes
Engine,GE CF6- 80E4,GE CF6-80E1,1310,0.01312098045,Titanium,"Titanium zinc plate, without pre-weathering, at plant/DE U",749.2473465,Airplanes
Engine,GE CF6- 80E5,GE CF6-80E1,1474,0.01476360701,Nickel,"Nickel, 99,5%, at plant/DE U",843.046251,Airplanes
Engine,GE CF6- 80E6,GE CF6-80E1,447,0.004477158977,Composites,"Chromium, at regional storage/RER U",255.6592091,Airplanes
Engine,GE CF6- 80E7,GE CF6-80E1,76,0.0007612171863,Aluminium,"Molybdenite, at plant/GLO U",43.46778499,Airplanes
Engine,GE CF6- 80E8,GE CF6-80E1,456,0.004567303118,Iron,"Cast iron, at plant/GLO U",260.8067099,Airplanes
Engine,GE CF6- 80E9,GE CF6-80E1,94,0.0009415054672,Niobium and tantalum,"Tantalum, powder, capacitor-grade, at regional storage/GLO",53.7627867,Airplanes
Engine,Parts,inlet cowl,140.5,0.001407250193,Composites,Composites,80.35820777,Airplanes
Engine,Parts,inlet cowl,140.5,0.001407250193,Titanium,"Titanium zinc plate, without pre-weathering, at plant/DE U",80.35820777,Airplanes
Engine,Parts,fan cowl,62.5,0.0006260009756,Composites,Composites,35.74653371,Airplanes
Engine,Parts,fan cowl,62.5,0.0006260009756,Titanium,"Titanium zinc plate, without pre-weathering, at plant/DE U",35.74653371,Airplanes
Engine,Parts,thrust reverser,351.5,0.003520629487,Composites,Composites,201.0385056,Airplanes
Engine,Parts,thrust reverser,351.5,0.003520629487,Titanium,"Titanium zinc plate, without pre-weathering, at plant/DE U",201.0385056,Airplanes
