Material Group,Material/Component,Unit,Component,Part,Material,Unitmass,Vehicle,Class,Hawkinsmass,Partmass
,,,,,,,evcar,,1452.837002,1558
Non-ferrous metals,Copper,kg,"Electric Motor, Copper Windings, Base",evmotor,Copper,41.37259716,evcar,Cars,38.58,0.02655494041
Non-ferrous metals,Neodymium,kg,"Electric Motor, Nd2Fe14B Magnet",evmotor,Neodymium,1.787307636,evcar,Cars,1.666666667,0.001147180768
Ferrous metals,Iron,kg,"Electric Motor, Nd2Fe14B Magnet",evmotor,Iron,4.843841353,evcar,Cars,4.516888285,0.003109012422
Chemical,Boron,kg,"Electric Motor, Nd2Fe14B Magnet",evmotor,Boron,0.06697973828,evcar,Cars,0.062458692,0.00004299084614
Ferrous metals,"sinter, iron, at plant",kg,"Electric Motor, Nd2Fe14B Magnet",evmotor,Iron,6.698128728,evcar,Cars,6.246013644,0.004299184036
Ferrous metals,"iron ore, 65% Fe, at beneficiation",kg,"Electric Motor, Nd2Fe14B Magnet",evmotor,Iron,7.033035164,evcar,Cars,6.558314326,0.004514143238
Ferrous metals,"High carbon steel, following Roder",kg,"Electric Motor, Other",evmotor,Steel,5.880145974,evcar,Cars,5.483243675,0.003774163013
Non-ferrous metals,Aluminum,kg,"Electric Motor, Other",evmotor,Aluminium,59.73182119,evcar,Cars,55.7,0.03833878125
Non-ferrous metals,Brass,kg,"Electric Motor, Other",evmotor,Brass,0.2466484538,evcar,Cars,0.23,0.0001583109459
Polymers,Fiber glass insulation,kg,"Electric Motor, Other",evmotor,Fiberglass,3.324392203,evcar,Cars,3.1,0.002133756228
Wood,Wood,kg,"Electric Motor, Other",evmotor,Wood,24.66484538,evcar,Cars,23,0.01583109459
Polymers,Impregnation resin,kg,"Electric Motor, Other",evmotor,Resin,3.967822952,evcar,Cars,3.7,0.002546741304
Chemical,Paint,kg,"Electric Motor, Other",evmotor,Paint,3.109915286,evcar,Cars,2.9,0.001996094536
Chemical,Other Chemical,kg,"Electric Motor, Other",evmotor,Chemical,0.171581533,evcar,Cars,0.16,0.0001101293537
Non-ferrous metals,Aluminum,kg,Controller,evmotor,Aluminium,0.01031035791,evcar,Cars,0.009614422,0.000006617688006
Non-ferrous metals,Copper,kg,Controller,evmotor,Copper,0.05541817137,evcar,Cars,0.051677516,0.00003557007148
Non-ferrous metals,Brass,kg,Controller,evmotor,Brass,0.001288795007,evcar,Cars,0.001201803,0.0000008272111728
Polymers,Fiber glass insulation,kg,Controller,evmotor,Fiberglass,0.07346129718,evcar,Cars,0.068502754,0.00004715102515
Ferrous metals,"Steel, unspecified",kg,Controller,evmotor,Steel,0.4214358633,evcar,Cars,0.392989484,0.0002704979867
Polymers,Epoxy,kg,Controller,evmotor,Epoxy,0.05799576139,evcar,Cars,0.054081122,0.00003722449383
Chemical,Brominated flame retardants,kg,Controller,evmotor,Chemical,0.01417674186,evcar,Cars,0.01321983,0.000009099320836
Non-ferrous metals,Tin,kg,Controller,evmotor,Tin,0.01417674186,evcar,Cars,0.01321983,0.000009099320836
Non-ferrous metals,Lead,kg,Controller,evmotor,Lead,0.009021562906,evcar,Cars,0.008412619,0.000005790476833
Non-ferrous metals,Nickel,kg,Controller,evmotor,Nickel,0.001288795007,evcar,Cars,0.001201803,0.0000008272111728
Non-ferrous metals,Chromium,kg,Controller,evmotor,Chromium,0.0003866386094,evcar,Cars,0.000360541,0.0000002481634207
Non-ferrous metals,Silver,kg,Controller,evmotor,Silver,0.000128879179,evcar,Cars,0.00012018,0.00000008272091079
Non-ferrous metals,Gold,kg,Controller,evmotor,Gold,0.000128879179,evcar,Cars,0.00012018,0.00000008272091079
Silicon,Silicon,kg,Controller,evmotor,Silicon,0.03479745662,evcar,Cars,0.032448673,0.00002233469616
Non-ferrous metals,Bronze,kg,Controller,evmotor,Bronze,0.0154655358,evcar,Cars,0.014421632,0.000009926531321
Polymers,Polyethylene,kg,Controller,evmotor,Polyethylene,0.3711728709,evcar,Cars,0.346119179,0.0002382367593
Non-ferrous metals,Aluminum,kg,"Inverter, for motor",evmotor,Aluminium,36.84498945,evcar,Cars,34.358,0.02364890209
Non-ferrous metals,Copper,kg,"Inverter, for motor",evmotor,Copper,38.01603342,evcar,Cars,35.45,0.02440053493
