Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass,Partmass
,,,,,,,,1452.837002,2354.372881
Non-ferrous metals,Copper,kg,"Electric Motor, Copper Windings, Base",62.52023156,evmotor,Copper,Utilitycars,38.58,0.02655494041
Non-ferrous metals,Neodymium,kg,"Electric Motor, Nd2Fe14B Magnet",2.70089129,evmotor,Neodymium,Utilitycars,1.666666667,0.001147180768
Ferrous metals,Iron,kg,"Electric Motor, Nd2Fe14B Magnet",7.319774534,evmotor,Iron,Utilitycars,4.516888285,0.003109012422
Chemical,Boron,kg,"Electric Motor, Nd2Fe14B Magnet",0.1012164823,evmotor,Boron,Utilitycars,0.062458692,0.00004299084614
Ferrous metals,"sinter, iron, at plant",kg,"Electric Motor, Nd2Fe14B Magnet",10.12188231,evmotor,Iron,Utilitycars,6.246013644,0.004299184036
Ferrous metals,"iron ore, 65% Fe, at beneficiation",kg,"Electric Motor, Nd2Fe14B Magnet",10.62797642,evmotor,Iron,Utilitycars,6.558314326,0.004514143238
Ferrous metals,"High carbon steel, following Roder",kg,"Electric Motor, Other",8.885787047,evmotor,Steel,Utilitycars,5.483243675,0.003774163013
Non-ferrous metals,Aluminum,kg,"Electric Motor, Other",90.26378689,evmotor,Aluminium,Utilitycars,55.7,0.03833878125
Non-ferrous metals,Brass,kg,"Electric Motor, Other",0.3727229979,evmotor,Brass,Utilitycars,0.23,0.0001583109459
Polymers,Fiber glass insulation,kg,"Electric Motor, Other",5.023657798,evmotor,Fiberglass,Utilitycars,3.1,0.002133756228
Wood,Wood,kg,"Electric Motor, Other",37.27229979,evmotor,Wood,Utilitycars,23,0.01583109459
Polymers,Impregnation resin,kg,"Electric Motor, Other",5.995978662,evmotor,Resin,Utilitycars,3.7,0.002546741304
Chemical,Paint,kg,"Electric Motor, Other",4.699550843,evmotor,Paint,Utilitycars,2.9,0.001996094536
Chemical,Other Chemical,kg,"Electric Motor, Other",0.2592855638,evmotor,Chemical,Utilitycars,0.16,0.0001101293537
Non-ferrous metals,Aluminum,kg,Controller,0.01558050518,evmotor,Aluminium,Utilitycars,0.009614422,0.000006617688006
Non-ferrous metals,Copper,kg,Controller,0.08374521169,evmotor,Copper,Utilitycars,0.051677516,0.00003557007148
Non-ferrous metals,Brass,kg,Controller,0.001947563552,evmotor,Brass,Utilitycars,0.001201803,0.0000008272111728
Polymers,Fiber glass insulation,kg,Controller,0.1110110949,evmotor,Fiberglass,Utilitycars,0.068502754,0.00004715102515
Ferrous metals,"Steel, unspecified",kg,Controller,0.6368531245,evmotor,Steel,Utilitycars,0.392989484,0.0002704979867
Polymers,Epoxy,kg,Controller,0.08764033879,evmotor,Epoxy,Utilitycars,0.054081122,0.00003722449383
Chemical,Brominated flame retardants,kg,Controller,0.02142319422,evmotor,Chemical,Utilitycars,0.01321983,0.000009099320836
Non-ferrous metals,Tin,kg,Controller,0.02142319422,evmotor,Tin,Utilitycars,0.01321983,0.000009099320836
Non-ferrous metals,Lead,kg,Controller,0.01363294163,evmotor,Lead,Utilitycars,0.008412619,0.000005790476833
Non-ferrous metals,Nickel,kg,Controller,0.001947563552,evmotor,Nickel,Utilitycars,0.001201803,0.0000008272111728
Non-ferrous metals,Chromium,kg,Controller,0.0005842692278,evmotor,Chromium,Utilitycars,0.000360541,0.0000002481634207
Non-ferrous metals,Silver,kg,Controller,0.0001947558691,evmotor,Silver,Utilitycars,0.00012018,0.00000008272091079
Non-ferrous metals,Gold,kg,Controller,0.0001947558691,evmotor,Gold,Utilitycars,0.00012018,0.00000008272091079
Silicon,Silicon,kg,Controller,0.05258420295,evmotor,Silicon,Utilitycars,0.032448673,0.00002233469616
Non-ferrous metals,Bronze,kg,Controller,0.02337075615,evmotor,Bronze,Utilitycars,0.014421632,0.000009926531321
Polymers,Polyethylene,kg,Controller,0.5608981654,evmotor,Polyethylene,Utilitycars,0.346119179,0.0002382367593
Non-ferrous metals,Aluminum,kg,"Inverter, for motor",55.67833375,evmotor,Aluminium,Utilitycars,34.358,0.02364890209
Non-ferrous metals,Copper,kg,"Inverter, for motor",57.44795772,evmotor,Copper,Utilitycars,35.45,0.02440053493
Polymers,Polyethylene,kg,"Inverter, for motor",6.320085617,evmotor,Polyethylene,Utilitycars,3.9,0.002684402996
Electronics,Circuit boards,kg,"Inverter, for motor",0.3241069547,evmotor,Circuitboard,Utilitycars,0.2,0.0001376616921
Electronics,Other electronic components,kg,"Inverter, for motor",0.2700891295,evmotor,Electronic,Utilitycars,0.166666667,0.000114718077
Non-ferrous metals,Nuts and bolts,kg,"Inverter, for motor",0.2700891295,evmotor,Steel,Utilitycars,0.166666667,0.000114718077
Non-ferrous metals,Aluminum,kg,"Inverter, for charging",55.67833375,evmotor,Aluminium,Utilitycars,34.358,0.02364890209
Non-ferrous metals,Copper,kg,"Inverter, for charging",57.44795772,evmotor,Copper,Utilitycars,35.45,0.02440053493
Polymers,Polyethylene,kg,"Inverter, for charging",6.320085617,evmotor,Polyethylene,Utilitycars,3.9,0.002684402996
Electronics,Circuit boards,kg,"Inverter, for charging",0.3241069547,evmotor,Circuitboard,Utilitycars,0.2,0.0001376616921
Electronics,Other electronic components,kg,"Inverter, for charging",0.2700891295,evmotor,Electronic,Utilitycars,0.166666667,0.000114718077
Non-ferrous metals,Nuts and bolts,kg,"Inverter, for charging",0.2700891295,evmotor,Steel,Utilitycars,0.166666667,0.000114718077
Non-ferrous metals,Aluminum,kg,Battery Passive Cooling System,97.23208641,evmotor,Aluminium,Utilitycars,60,0.04129850763
Ferrous metals,"Steel, unspecified",kg,Battery Passive Cooling System,32.41069547,evmotor,Steel,Utilitycars,20,0.01376616921
Ferrous metals,"Steel, unspecified",kg,Other Battery-Related Equipment/Hardware,16.20534774,evmotor,Steel,Utilitycars,10,0.006883084606
Other,Paint,kg,Paint/Paint shop,19.11161742,interior,Paint,Utilitycars,11.79340162,0.008117498114
Polymers,"Polypropylene, 25% Fiberglass (PP-GF25)",kg,Under body finisher,1.403383114,interior,Polypropylene,Utilitycars,0.866,0.0005960751268
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Bumper covers (4),0.7778566913,interior,Polypropylene,Utilitycars,0.48,0.0003303880611
Polymers,Polypropylene (PP),kg,Wheel arc closures (4),6.209889252,interior,Polypropylene,Utilitycars,3.832,0.002637598021
Polymers,"Nylon 66, 30% Mineral powder (PA66-MD30)",kg,Road wheel finishers (4),0.2657677029,interior,Nylon,Utilitycars,0.164,0.0001128825875
Polymers,Ethylene propylene diene monomer (EPDM-TD10),kg,Bumpers (2),8.216111302,interior,EPDM,Utilitycars,5.07,0.003489723895
Polymers,Polypropylene (PP),kg,Bumpers (2),8.216111302,interior,Polypropylene,Utilitycars,5.07,0.003489723895
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Rear lamps (2),1.46658397,interior,ABS,Utilitycars,0.905,0.0006229191568
Polymers,Polymethyl methacrylate (PMMA),kg,Rear lamps (2),1.46658397,interior,Polymethylmethacrylate,Utilitycars,0.905,0.0006229191568
Polymers,Acrylonitrile styrene acrylate (ASA),kg,Radiator Grille,0.4472675975,interior,ASA,Utilitycars,0.276,0.0001899731351
Ferous metals,Steel (GREET),kg,"Other, exterior trim (GREET data)",0.6953688493,interior,Steel,Utilitycars,0.429098382,0.0002953520467
Polymers,Rubber (GREET),kg,"Other, exterior trim (GREET data)",0.2425705287,interior,Rubber,Utilitycars,0.149685482,0.0001030297837
Polymers,Rubber (GREET),kg,Sealers/deadeners,1.458481296,interior,Rubber,Utilitycars,0.9,0.0006194776145
Non-ferrous metals,Copper,kg,Exterior electrical (GREET data),6.630261121,interior,Copper,Utilitycars,4.091403177,0.002816147422
Polymers,Other plastic (GREET),kg,Exterior electrical (GREET data),9.541107468,interior,Plastic,Utilitycars,5.887628963,0.004052504828
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Centre console,0.9463923077,interior,ABS,Utilitycars,0.584,0.000401972141
Polymers,Polypropylene ether (PE),kg,Dashboard,5.997599197,interior,Polypropylene,Utilitycars,3.701,0.002547429612
