Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass
,,,,,,,,1452.837002
Non-ferrous metals,Copper,kg,"Electric Motor, Copper Windings, Base",2.655494E-02,evmotor,Copper,Utilitycars,38.58
Non-ferrous metals,Neodymium,kg,"Electric Motor, Nd2Fe14B Magnet",1.147181E-03,evmotor,Neodymium,Utilitycars,1.666666667
Ferrous metals,Iron,kg,"Electric Motor, Nd2Fe14B Magnet",3.109012E-03,evmotor,Iron,Utilitycars,4.516888285
Chemical,Boron,kg,"Electric Motor, Nd2Fe14B Magnet",4.299085E-05,evmotor,Boron,Utilitycars,0.062458692
Ferrous metals,"sinter, iron, at plant",kg,"Electric Motor, Nd2Fe14B Magnet",4.299184E-03,evmotor,Iron,Utilitycars,6.246013644
Ferrous metals,"iron ore, 65% Fe, at beneficiation",kg,"Electric Motor, Nd2Fe14B Magnet",4.514143E-03,evmotor,Iron,Utilitycars,6.558314326
Ferrous metals,"High carbon steel, following Roder",kg,"Electric Motor, Other",3.774163E-03,evmotor,Steel,Utilitycars,5.483243675
Non-ferrous metals,Aluminum,kg,"Electric Motor, Other",3.833878E-02,evmotor,Aluminium,Utilitycars,55.7
Non-ferrous metals,Brass,kg,"Electric Motor, Other",1.583109E-04,evmotor,Brass,Utilitycars,0.23
Polymers,Fiber glass insulation,kg,"Electric Motor, Other",2.133756E-03,evmotor,Fiberglass,Utilitycars,3.1
Wood,Wood,kg,"Electric Motor, Other",1.583109E-02,evmotor,Wood,Utilitycars,23
Polymers,Impregnation resin,kg,"Electric Motor, Other",2.546741E-03,evmotor,Resin,Utilitycars,3.7
Chemical,Paint,kg,"Electric Motor, Other",1.996095E-03,evmotor,Paint,Utilitycars,2.9
Chemical,Other Chemical,kg,"Electric Motor, Other",1.101294E-04,evmotor,Chemical,Utilitycars,0.16
Non-ferrous metals,Aluminum,kg,Controller,6.617688E-06,evmotor,Aluminium,Utilitycars,0.009614422
Non-ferrous metals,Copper,kg,Controller,3.557007E-05,evmotor,Copper,Utilitycars,0.051677516
Non-ferrous metals,Brass,kg,Controller,8.272112E-07,evmotor,Brass,Utilitycars,0.001201803
Polymers,Fiber glass insulation,kg,Controller,4.715103E-05,evmotor,Fiberglass,Utilitycars,0.068502754
Ferrous metals,"Steel, unspecified",kg,Controller,2.704980E-04,evmotor,Steel,Utilitycars,0.392989484
Polymers,Epoxy,kg,Controller,3.722449E-05,evmotor,Epoxy,Utilitycars,0.054081122
Chemical,Brominated flame retardants,kg,Controller,9.099321E-06,evmotor,Chemical,Utilitycars,0.01321983
Non-ferrous metals,Tin,kg,Controller,9.099321E-06,evmotor,Tin,Utilitycars,0.01321983
Non-ferrous metals,Lead,kg,Controller,5.790477E-06,evmotor,Lead,Utilitycars,0.008412619
Non-ferrous metals,Nickel,kg,Controller,8.272112E-07,evmotor,Nickel,Utilitycars,0.001201803
Non-ferrous metals,Chromium,kg,Controller,2.481634E-07,evmotor,Chromium,Utilitycars,0.000360541
Non-ferrous metals,Silver,kg,Controller,8.272091E-08,evmotor,Silver,Utilitycars,0.00012018
Non-ferrous metals,Gold,kg,Controller,8.272091E-08,evmotor,Gold,Utilitycars,0.00012018
Silicon,Silicon,kg,Controller,2.233470E-05,evmotor,Silicon,Utilitycars,0.032448673
Non-ferrous metals,Bronze,kg,Controller,9.926531E-06,evmotor,Bronze,Utilitycars,0.014421632
Polymers,Polyethylene,kg,Controller,2.382368E-04,evmotor,Polyethylene,Utilitycars,0.346119179
Non-ferrous metals,Aluminum,kg,"Inverter, for motor",2.364890E-02,evmotor,Aluminium,Utilitycars,34.358
Non-ferrous metals,Copper,kg,"Inverter, for motor",2.440053E-02,evmotor,Copper,Utilitycars,35.45
Polymers,Polyethylene,kg,"Inverter, for motor",2.684403E-03,evmotor,Polyethylene,Utilitycars,3.9
Electronics,Circuit boards,kg,"Inverter, for motor",1.376617E-04,evmotor,Circuitboard,Utilitycars,0.2
Electronics,Other electronic components,kg,"Inverter, for motor",1.147181E-04,evmotor,Electronic,Utilitycars,0.166666667
Non-ferrous metals,Nuts and bolts,kg,"Inverter, for motor",1.147181E-04,evmotor,Steel,Utilitycars,0.166666667
Non-ferrous metals,Aluminum,kg,"Inverter, for charging",2.364890E-02,evmotor,Aluminium,Utilitycars,34.358
Non-ferrous metals,Copper,kg,"Inverter, for charging",2.440053E-02,evmotor,Copper,Utilitycars,35.45
Polymers,Polyethylene,kg,"Inverter, for charging",2.684403E-03,evmotor,Polyethylene,Utilitycars,3.9
Electronics,Circuit boards,kg,"Inverter, for charging",1.376617E-04,evmotor,Circuitboard,Utilitycars,0.2
Electronics,Other electronic components,kg,"Inverter, for charging",1.147181E-04,evmotor,Electronic,Utilitycars,0.166666667
Non-ferrous metals,Nuts and bolts,kg,"Inverter, for charging",1.147181E-04,evmotor,Steel,Utilitycars,0.166666667
Non-ferrous metals,Aluminum,kg,Battery Passive Cooling System,4.129851E-02,evmotor,Aluminium,Utilitycars,60
