Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Ferrous metals,Steel,1.7649E-01,hev,Cars,Body,Body-in-white,100%
Ferrous metals,Steel,5.6374E-02,hev,Cars,Body,Body panels,100%
Ferrous metals,Steel,7.0468E-03,hev,Cars,Body,Front/rear bumpers,100%
Polymers,Plastic,6.3280E-03,hev,Cars,Body,Body hardware,89.8%
Ferrous metals,Steel,3.7348E-04,hev,Cars,Body,Body hardware,5.3%
Polymers,Rubber,1.6208E-04,hev,Cars,Body,Body hardware,2.3%
Copper,Copper,1.4094E-04,hev,Cars,Body,Body hardware,2%
Glass,Glass,4.2281E-05,hev,Cars,Body,Body hardware,0.6%
Ferrous metals,Steel,3.5234E-03,hev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
Polymers,Plastic,3.5234E-03,hev,Cars,Body,Weld blanks and fasteners (electronics to body),50%
Ferrous metals,Steel,3.5234E-03,hev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Polymers,Plastic,3.5234E-03,hev,Cars,Body,Weld blanks and fasteners (other systems to body),50%
Glass,Glass,2.8187E-02,hev,Cars,Body,Glass,100%
Paint,Paint,8.3280E-03,hev,Cars,Exterior,Paint,100%
Polymers,Plastic,6.5958E-03,hev,Cars,Exterior,Exterior trim,93.6%
Ferrous metals,Steel,3.0301E-04,hev,Cars,Exterior,Exterior trim,4.3%
Polymers,Rubber,1.0570E-04,hev,Cars,Exterior,Exterior trim,1.5%
Organic,Organic,4.2281E-05,hev,Cars,Exterior,Exterior trim,0.6%
Polymers,Rubber,1.2812E-03,hev,Cars,Exterior,Sealers/deadeners,100%
Polymers,Plastic,4.1576E-03,hev,Cars,Exterior,Exterior electrical,59%
Copper,Copper,2.8892E-03,hev,Cars,Exterior,Exterior electrical,41%
Ferrous metals,Steel,7.8091E-03,hev,Cars,Interior,Instrument panel,46%
Polymers,Plastic,7.9789E-03,hev,Cars,Interior,Instrument panel,47%
Organic,Organic,6.7905E-04,hev,Cars,Interior,Instrument panel,4%
Aluminium,"Aluminium, wrought alloy",1.6976E-04,hev,Cars,Interior,Instrument panel,1%
Polymers,Rubber,1.6976E-04,hev,Cars,Interior,Instrument panel,1%
"Critical Raw Materials, CRM",Magnesium,1.6976E-04,hev,Cars,Interior,Instrument panel,1%
Polymers,Plastic,1.0547E-02,hev,Cars,Interior,Trim & insulation,67.2%
Ferrous metals,Steel,4.6300E-03,hev,Cars,Interior,Trim & insulation,29.5%
Organic,Organic,5.0224E-04,hev,Cars,Interior,Trim & insulation,3.2%
Aluminium,"Aluminium, wrought alloy",1.5695E-05,hev,Cars,Interior,Trim & insulation,0.1%
Polymers,Plastic,1.1504E-02,hev,Cars,Interior,Door modules,65.3%
Organic,Organic,5.7431E-03,hev,Cars,Interior,Door modules,32.6%
Ferrous metals,Steel,3.1710E-04,hev,Cars,Interior,Door modules,1.8%
Glass,Glass,5.2851E-05,hev,Cars,Interior,Door modules,0.3%
Ferrous metals,Steel,2.4523E-02,hev,Cars,Interior,Seating & restraint,58%
Polymers,Plastic,1.6489E-02,hev,Cars,Interior,Seating & restraint,39%
Organic,Organic,1.2684E-03,hev,Cars,Interior,Seating & restraint,3%
Material Group,,0.0000E+00,hev,Cars,Interior,Seating & restraint,
Ferrous metals,Steel,7.9206E-03,hev,Cars,Interior,HVAC,56.2%
Aluminium,"Aluminium, wrought alloy",3.0301E-03,hev,Cars,Interior,HVAC,21.5%
Copper,Copper,2.3536E-03,hev,Cars,Interior,HVAC,16.7%
Polymers,Plastic,3.3824E-04,hev,Cars,Interior,HVAC,2.4%
Polymers,Rubber,2.8187E-04,hev,Cars,Interior,HVAC,2%
Other nonferrous metals,Zinc,7.0468E-05,hev,Cars,Interior,HVAC,0.5%
Other,Other,9.8655E-05,hev,Cars,Interior,HVAC,0.7%
Polymers,Plastic,4.1576E-03,hev,Cars,Interior,Interior electrical,59%
Copper,Copper,2.8892E-03,hev,Cars,Interior,Interior electrical,41%
Ferrous metals,Steel,3.5234E-03,hev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
Polymers,Plastic,3.5234E-03,hev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
Ferrous metals,"Iron, cast",3.8917E-02,hev,Cars,Powertrain,Engine,50%
Aluminium,"Aluminium, cast alloy",2.3350E-02,hev,Cars,Powertrain,Engine,30%
Ferrous metals,Steel,7.7835E-03,hev,Cars,Powertrain,Engine,10%
Polymers,Plastic,3.5026E-03,hev,Cars,Powertrain,Engine,4.5%
Polymers,Rubber,3.5026E-03,hev,Cars,Powertrain,Engine,4.5%
Copper,Copper,7.7835E-04,hev,Cars,Powertrain,Engine,1%
Material Group,,0.0000E+00,hev,Cars,Powertrain,Engine,
Composites,Carbon Fiber Composite,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,62.8%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,23.2%
Polymers,Perfluorosulfonic Acid,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,5.4%
Minerals,Carbon Paper,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,5.0%
Ferrous metals,Steel,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,1.5%
Polymers,Polytetrafluoroethylene,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,1.4%
Polymers,Carbon/Perfluorosulfonic Acid Suspension,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,0.6%
"Critical Raw Materials, CRM",Platinum,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,0.1%
Ferrous metals,Steel,3.8117E-02,hev,Cars,Powertrain,Engine fuel storage system,100%
Ferrous metals,Steel,5.1249E-03,hev,Cars,Powertrain,Powertrain thermal,50%
Polymers,Plastic,5.1249E-03,hev,Cars,Powertrain,Powertrain thermal,50%
Ferrous metals,Steel,2.0497E-02,hev,Cars,Powertrain,Exhaust,99.985%
"Critical Raw Materials, CRM",Platinum,3.0750E-06,hev,Cars,Powertrain,Exhaust,0.015%
Polymers,Plastic,4.1576E-03,hev,Cars,Powertrain,Powertrain electrical,59%
Copper,Copper,2.8892E-03,hev,Cars,Powertrain,Powertrain electrical,41%
Polymers,Plastic,7.5593E-04,hev,Cars,Powertrain,Emission control electronics,59%
Copper,Copper,5.2530E-04,hev,Cars,Powertrain,Emission control electronics,41%
Ferrous metals,Steel,7.0468E-03,hev,Cars,Powertrain,Weld blanks and fasteners (powertrain to body),100%
Ferrous metals,Steel,0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),30%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),30%
Ferrous metals,"Iron, cast",0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),30%
Polymers,Plastic,0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),5%
Polymers,Rubber,0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),5%
Ferrous metals,Steel,4.1470E-02,hev,Cars,Powertrain,Transmission (HEV/FCV),60.5%
Aluminium,"Aluminium, wrought alloy",1.3709E-02,hev,Cars,Powertrain,Transmission (HEV/FCV),20%
Copper,Copper,1.3024E-02,hev,Cars,Powertrain,Transmission (HEV/FCV),19%
Organic,Organic,2.0564E-04,hev,Cars,Powertrain,Transmission (HEV/FCV),0.3%
Polymers,Plastic,1.3709E-04,hev,Cars,Powertrain,Transmission (HEV/FCV),0.2%
Ferrous metals,Steel,2.1140E-02,hev,Cars,Chassis,Cradle,100%
Ferrous metals,Steel,5.2210E-02,hev,Cars,Chassis,Driveshaft/axle,100%
Ferrous metals,Steel,1.7617E-02,hev,Cars,Chassis,Differential,100%
Ferrous metals,Steel,2.8828E-02,hev,Cars,Chassis,Corner suspension,100%
Ferrous metals,Iron,1.6143E-02,hev,Cars,Chassis,Braking system,60%
Ferrous metals,Steel,9.4170E-03,hev,Cars,Chassis,Braking system,35%
Ceramics,Friction Material,1.3453E-03,hev,Cars,Chassis,Braking system,5%
Ferrous metals,Steel,2.9148E-02,hev,Cars,Chassis,Wheels,100%
Polymers,Rubber,1.9315E-02,hev,Cars,Chassis,Tires,67%
Ferrous metals,Steel,9.5131E-03,hev,Cars,Chassis,Tires,33%
Ferrous metals,Steel,1.2556E-02,hev,Cars,Chassis,Steering system,80%
Aluminium,"Aluminium, wrought alloy",2.3543E-03,hev,Cars,Chassis,Steering system,15%
Polymers,Rubber,7.8475E-04,hev,Cars,Chassis,Steering system,5%
Polymers,Plastic,4.1576E-03,hev,Cars,Chassis,Chassis electrical,59%
Copper,Copper,2.8892E-03,hev,Cars,Chassis,Chassis electrical,41%
Ferrous metals,Steel,7.0468E-03,hev,Cars,Chassis,Weld blanks and fasteners (chassis to body),100%
Ferrous metals,Steel,7.0535E-03,hev,Cars,Chassis,Generator,36.1%
Aluminium,"Aluminium, cast alloy",7.0535E-03,hev,Cars,Chassis,Generator,36.1%
Copper,Copper,5.3341E-03,hev,Cars,Chassis,Generator,27.3%
Ferrous metals,Steel,7.0535E-03,hev,Cars,Chassis,Motor,36.1%
Aluminium,"Aluminium, cast alloy",7.0535E-03,hev,Cars,Chassis,Motor,36.1%
Copper,Copper,5.3341E-03,hev,Cars,Chassis,Motor,27.3%
Ferrous metals,Steel,8.6483E-04,hev,Cars,Chassis,Controller/inverter,5.0%
Aluminium,"Aluminium, cast alloy",8.1294E-03,hev,Cars,Chassis,Controller/inverter,47.0%
Copper,Copper,1.4183E-03,hev,Cars,Chassis,Controller/inverter,8.2%
Polymers,Rubber,6.3997E-04,hev,Cars,Chassis,Controller/inverter,3.7%
Polymers,Plastic,4.1166E-03,hev,Cars,Chassis,Controller/inverter,23.8%
Organic,Organic,2.1275E-03,hev,Cars,Chassis,Controller/inverter,12.3%
Ferrous metals,Steel,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),36.8%
Composites,Carbon Fiber Composite,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),25.7%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),16.7%
Copper,Copper,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),9.6%
Polymers,Plastic,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),8.7%
Polymers,Rubber,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),1.5%
Other nonferrous metals,Lead,4.8623E-03,hev,Cars,Battery,Pb-Ac Battery,69%
Organic,Water,9.9359E-04,hev,Cars,Battery,Pb-Ac Battery,14.1%
Chemicals,Sulfuric Acid,5.5669E-04,hev,Cars,Battery,Pb-Ac Battery,7.9%
