Material Group,Material/Component,Unit,Component,Part,Material,Unitmass,Vehicle,Class,Hawkinsmass,Partmass
Avgcar,Avgcar,kg,Avgcar,,,,icecar,,1231.645477,1121
Ferrous metals,"Fe, cast, machined",kg,Crankcase,icemotor,Iron,27.05919083,icecar,Cars,29.73,0.02413843964
Other,Tools,kg,Crankcase,icemotor,Steel,0.001365246762,icecar,Cars,0.0015,0.000001217882928
Ferrous metals,"Shavings, Fe, cast, machined",kg,Crankcase,icemotor,Iron,4.339664375,icecar,Cars,4.768,0.003871243867
Ferrous metals,"Scrap, Fe, cast, machined",kg,Crankcase,icemotor,Steel,0.2248106335,icecar,Cars,0.247,0.0002005447222
Other,Emulsion,kg,Crankcase,icemotor,Emulsion,0.5397275534,icecar,Cars,0.593,0.0004814697176
Ferrous metals,"Fe, forged, machined",kg,Crankshaft,icemotor,Iron,7.527970648,icecar,Cars,8.271,0.006715406466
Other,Tools,kg,Crankshaft,icemotor,Steel,0.03485019902,icecar,Cars,0.03829,0.00003108849154
Ferrous metals,"Shavings, Fe, forged, machined",kg,Crankshaft,icemotor,Iron,1.245105047,icecar,Cars,1.368,0.00111070923
Ferrous metals,"Scrap, Fe, forged, machined",kg,Crankshaft,icemotor,Iron,0.04956755912,icecar,Cars,0.05446,0.00004421726951
Other,Emulsion,kg,Crankshaft,icemotor,Emulsion,1.013013098,icecar,Cars,1.113,0.0009036691327
Ferrous metals,"Fe, cast, machined",kg,Flywheel,icemotor,Iron,5.776814134,icecar,Cars,6.347,0.00515326863
Other,Tools,kg,Flywheel,icemotor,Steel,0.001219620441,icecar,Cars,0.00134,0.000001087975416
Ferrous metals,"Shavings, Fe, cast, machined",kg,Flywheel,icemotor,Iron,1.071263626,icecar,Cars,1.177,0.0009556321376
Ferrous metals,"Scrap, Fe, cast, machined",kg,Flywheel,icemotor,Steel,0.01365246762,icecar,Cars,0.015,0.00001217882928
Other,Emulsion,kg,Flywheel,icemotor,Emulsion,0.8500936507,icecar,Cars,0.934,0.0007583351032
Ferrous metals,"Steel, cast, heat treat",kg,Ring gear,icemotor,Steel,0.4596330767,icecar,Cars,0.505,0.0004100205858
Other,Tools,kg,Ring gear,icemotor,Steel,0.01215069619,icecar,Cars,0.01335,0.00001083915806
Ferrous metals,"Shavings, Steel, cast, heat treated",kg,Ring gear,icemotor,Steel,0.223900469,icecar,Cars,0.246,0.0001997328002
Ferrous metals,"Scrap, Steel, cast, heat treated",kg,Ring gear,icemotor,Steel,0.002930729717,icecar,Cars,0.00322,0.000002614388686
Other,Emulsion,kg,Ring gear,icemotor,Emulsion,0.6098102205,icecar,Cars,0.67,0.0005439877079
Ferrous metals,"Fe, cast, machined",kg,"Connecting rod, 4 pc.",icemotor,Iron,1.356145117,icecar,Cars,1.49,0.001209763709
Other,Tools,kg,"Connecting rod, 4 pc.",icemotor,Steel,0.005215242632,icecar,Cars,0.00573,0.000004652312785
Ferrous metals,"Shavings, Fe, cast, machined",kg,"Connecting rod, 4 pc.",icemotor,Iron,0.7090181519,icecar,Cars,0.779,0.0006324872007
Ferrous metals,"Scrap, Fe, cast, machined",kg,"Connecting rod, 4 pc.",icemotor,Steel,0.01604620028,icecar,Cars,0.01763,0.00001431418401
Other,Emulsion,kg,"Connecting rod, 4 pc.",icemotor,Emulsion,0.8227887155,icecar,Cars,0.904,0.0007339774447
Non-ferrous metals,"Al, cast, machined",kg,Cylinder head,icemotor,Aluminium,7.287687218,icecar,Cars,8.007,0.00650105907
Other,Tools,kg,Cylinder head,icemotor,Steel,0.0004095740287,icecar,Cars,0.00045,0.0000003653648784
Non-ferrous metals,"Shavings, Al, cast, machined",kg,Cylinder head,icemotor,Aluminium,1.810317207,icecar,Cars,1.989,0.001614912763
Non-ferrous metals,"Scrap, Al, cast, machined",kg,Cylinder head,icemotor,Aluminium,0.0008555546378,icecar,Cars,0.00094,0.0000007632066349
Other,Emulsion,kg,Cylinder head,icemotor,Emulsion,0.8073159188,icecar,Cars,0.887,0.0007201747715
Ferrous metals,"Steel, extruded",kg,Camshaft,icemotor,Steel,0.07918431222,icecar,Cars,0.087,0.00007063720983
Ferrous metals,"Steel, extruded, machined",kg,Camshaft,icemotor,Steel,1.911345467,icecar,Cars,2.1,0.001705036099
Other,Tools,kg,Camshaft,icemotor,Steel,0.01264218502,icecar,Cars,0.01389,0.00001127759591
Ferrous metals,"Shavings, Steel, extruded, machined",kg,Camshaft,icemotor,Steel,0.381358929,icecar,Cars,0.419,0.0003401952979
Ferrous metals,"Scrap, Steel, extruded, machined",kg,Camshaft,icemotor,Steel,0.03933731005,icecar,Cars,0.04322,0.00003509126677
Other,Emulsion,kg,Camshaft,icemotor,Emulsion,0.6453066364,icecar,Cars,0.709,0.000575652664
Ferrous metals,"Steel, extruded",kg,"Intake valve, 4 pc.",icemotor,Steel,0.2157089885,icecar,Cars,0.237,0.0001924255026
Other,Tools,kg,"Intake valve, 4 pc.",icemotor,Steel,0.3612806999,icecar,Cars,0.39694,0.0003222842997
Ferrous metals,"Shavings, Steel, extruded, machined",kg,"Intake valve, 4 pc.",icemotor,Steel,0.04914888345,icecar,Cars,0.054,0.00004384378541
Ferrous metals,"Scrap, Steel, extruded, machined",kg,"Intake valve, 4 pc.",icemotor,Steel,0.009092543438,icecar,Cars,0.00999,0.000008111100301
Other,Emulsion,kg,"Intake valve, 4 pc.",icemotor,Emulsion,1.250566034,icecar,Cars,1.374,0.001115580762
Ferrous metals,"Fe, cast, machined",kg,"Hydraulic valve lifter, 8 pc",icemotor,Iron,0.277600175,icecar,Cars,0.305,0.0002476361954
Other,Tools,kg,"Hydraulic valve lifter, 8 pc",icemotor,Steel,0.003267490585,icecar,Cars,0.00359,0.000002914799808
Ferrous metals,"Shavings, Fe, cast, machined",kg,"Hydraulic valve lifter, 8 pc",icemotor,Iron,0.01547279664,icecar,Cars,0.017,0.00001380267319
Ferrous metals,"Scrap, Fe, cast, machined",kg,"Hydraulic valve lifter, 8 pc",icemotor,Steel,0.006362049913,icecar,Cars,0.00699,0.000005675334445
Other,Emulsion,kg,"Hydraulic valve lifter, 8 pc",icemotor,Emulsion,0.5979780819,icecar,Cars,0.657,0.0005334327225
Non-ferrous metals,"Al, cast",kg,Block and other,icemotor,Aluminium,0.1802125726,icecar,Cars,0.198,0.0001607605465
Non-ferrous metals,"Al, cast, machined",kg,Block and other,icemotor,Aluminium,17.01370515,icecar,Cars,18.693,0.01517725705
Non-ferrous metals,"Al, no specification",kg,Block and other,icemotor,Aluminium,1.117682016,icecar,Cars,1.228,0.0009970401571
Non-ferrous metals,"Al, rolled, stamped",kg,Block and other,icemotor,Aluminium,1.547279664,icecar,Cars,1.7,0.001380267319
Ferrous metals,"Fe, cast",kg,Block and other,icemotor,Iron,0.1383450053,icecar,Cars,0.152,0.0001234121367
Ferrous metals,"Fe, cast, machined",kg,Block and other,icemotor,Iron,26.06529119,icecar,Cars,28.638,0.02325182086
