Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass,Partmass
Avgcar,Avgcar,kg,Avgcar,,,,,1231.645477,1694
Ferrous metals,"Fe, cast, machined",kg,Crankcase,40.89051674,icemotor,Iron,Utilitycars,29.73,0.02413843964
Other,Tools,kg,Crankcase,0.00206309368,icemotor,Steel,Utilitycars,0.0015,0.000001217882928
Ferrous metals,"Shavings, Fe, cast, machined",kg,Crankcase,6.557887111,icemotor,Iron,Utilitycars,4.768,0.003871243867
Ferrous metals,"Scrap, Fe, cast, machined",kg,Crankcase,0.3397227593,icemotor,Steel,Utilitycars,0.247,0.0002005447222
Other,Emulsion,kg,Crankcase,0.8156097016,icemotor,Emulsion,Utilitycars,0.593,0.0004814697176
Ferrous metals,"Fe, forged, machined",kg,Crankshaft,11.37589855,icemotor,Iron,Utilitycars,8.271,0.006715406466
Other,Tools,kg,Crankshaft,0.05266390468,icemotor,Steel,Utilitycars,0.03829,0.00003108849154
Ferrous metals,"Shavings, Fe, forged, machined",kg,Crankshaft,1.881541436,icemotor,Iron,Utilitycars,1.368,0.00111070923
Ferrous metals,"Scrap, Fe, forged, machined",kg,Crankshaft,0.07490405455,icemotor,Iron,Utilitycars,0.05446,0.00004421726951
Other,Emulsion,kg,Crankshaft,1.530815511,icemotor,Emulsion,Utilitycars,1.113,0.0009036691327
Ferrous metals,"Fe, cast, machined",kg,Flywheel,8.729637059,icemotor,Iron,Utilitycars,6.347,0.00515326863
Other,Tools,kg,Flywheel,0.001843030354,icemotor,Steel,Utilitycars,0.00134,0.000001087975416
Ferrous metals,"Shavings, Fe, cast, machined",kg,Flywheel,1.618840841,icemotor,Iron,Utilitycars,1.177,0.0009556321376
Ferrous metals,"Scrap, Fe, cast, machined",kg,Flywheel,0.0206309368,icemotor,Steel,Utilitycars,0.015,0.00001217882928
Other,Emulsion,kg,Flywheel,1.284619665,icemotor,Emulsion,Utilitycars,0.934,0.0007583351032
Ferrous metals,"Steel, cast, heat treat",kg,Ring gear,0.6945748723,icemotor,Steel,Utilitycars,0.505,0.0004100205858
Other,Tools,kg,Ring gear,0.01836153375,icemotor,Steel,Utilitycars,0.01335,0.00001083915806
Ferrous metals,"Shavings, Steel, cast, heat treated",kg,Ring gear,0.3383473636,icemotor,Steel,Utilitycars,0.246,0.0001997328002
Ferrous metals,"Scrap, Steel, cast, heat treated",kg,Ring gear,0.004428774434,icemotor,Steel,Utilitycars,0.00322,0.000002614388686
Other,Emulsion,kg,Ring gear,0.9215151772,icemotor,Emulsion,Utilitycars,0.67,0.0005439877079
Ferrous metals,"Fe, cast, machined",kg,"Connecting rod, 4 pc.",2.049339722,icemotor,Iron,Utilitycars,1.49,0.001209763709
Other,Tools,kg,"Connecting rod, 4 pc.",0.007881017858,icemotor,Steel,Utilitycars,0.00573,0.000004652312785
