Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass
Avgcar,Avgcar,kg,Avgcar,,,,,1231.645477
Ferrous metals,"Fe, cast, machined",kg,Crankcase,2.413844E-02,icemotor,Iron,Utilitycars,29.73
Other,Tools,kg,Crankcase,1.217883E-06,icemotor,Steel,Utilitycars,0.0015
Ferrous metals,"Shavings, Fe, cast, machined",kg,Crankcase,3.871244E-03,icemotor,Iron,Utilitycars,4.768
Ferrous metals,"Scrap, Fe, cast, machined",kg,Crankcase,2.005447E-04,icemotor,Steel,Utilitycars,0.247
Other,Emulsion,kg,Crankcase,4.814697E-04,icemotor,Emulsion,Utilitycars,0.593
Ferrous metals,"Fe, forged, machined",kg,Crankshaft,6.715406E-03,icemotor,Iron,Utilitycars,8.271
Other,Tools,kg,Crankshaft,3.108849E-05,icemotor,Steel,Utilitycars,0.03829
Ferrous metals,"Shavings, Fe, forged, machined",kg,Crankshaft,1.110709E-03,icemotor,Iron,Utilitycars,1.368
Ferrous metals,"Scrap, Fe, forged, machined",kg,Crankshaft,4.421727E-05,icemotor,Iron,Utilitycars,0.05446
Other,Emulsion,kg,Crankshaft,9.036691E-04,icemotor,Emulsion,Utilitycars,1.113
Ferrous metals,"Fe, cast, machined",kg,Flywheel,5.153269E-03,icemotor,Iron,Utilitycars,6.347
Other,Tools,kg,Flywheel,1.087975E-06,icemotor,Steel,Utilitycars,0.00134
Ferrous metals,"Shavings, Fe, cast, machined",kg,Flywheel,9.556321E-04,icemotor,Iron,Utilitycars,1.177
Ferrous metals,"Scrap, Fe, cast, machined",kg,Flywheel,1.217883E-05,icemotor,Steel,Utilitycars,0.015
Other,Emulsion,kg,Flywheel,7.583351E-04,icemotor,Emulsion,Utilitycars,0.934
Ferrous metals,"Steel, cast, heat treat",kg,Ring gear,4.100206E-04,icemotor,Steel,Utilitycars,0.505
Other,Tools,kg,Ring gear,1.083916E-05,icemotor,Steel,Utilitycars,0.01335
Ferrous metals,"Shavings, Steel, cast, heat treated",kg,Ring gear,1.997328E-04,icemotor,Steel,Utilitycars,0.246
Ferrous metals,"Scrap, Steel, cast, heat treated",kg,Ring gear,2.614389E-06,icemotor,Steel,Utilitycars,0.00322
Other,Emulsion,kg,Ring gear,5.439877E-04,icemotor,Emulsion,Utilitycars,0.67
Ferrous metals,"Fe, cast, machined",kg,"Connecting rod, 4 pc.",1.209764E-03,icemotor,Iron,Utilitycars,1.49
Other,Tools,kg,"Connecting rod, 4 pc.",4.652313E-06,icemotor,Steel,Utilitycars,0.00573
Ferrous metals,"Shavings, Fe, cast, machined",kg,"Connecting rod, 4 pc.",6.324872E-04,icemotor,Iron,Utilitycars,0.779
Ferrous metals,"Scrap, Fe, cast, machined",kg,"Connecting rod, 4 pc.",1.431418E-05,icemotor,Steel,Utilitycars,0.01763
Other,Emulsion,kg,"Connecting rod, 4 pc.",7.339774E-04,icemotor,Emulsion,Utilitycars,0.904
Non-ferrous metals,"Al, cast, machined",kg,Cylinder head,6.501059E-03,icemotor,Aluminium,Utilitycars,8.007
Other,Tools,kg,Cylinder head,3.653649E-07,icemotor,Steel,Utilitycars,0.00045
Non-ferrous metals,"Shavings, Al, cast, machined",kg,Cylinder head,1.614913E-03,icemotor,Aluminium,Utilitycars,1.989
Non-ferrous metals,"Scrap, Al, cast, machined",kg,Cylinder head,7.632066E-07,icemotor,Aluminium,Utilitycars,0.00094
Other,Emulsion,kg,Cylinder head,7.201748E-04,icemotor,Emulsion,Utilitycars,0.887
Ferrous metals,"Steel, extruded",kg,Camshaft,7.063721E-05,icemotor,Steel,Utilitycars,0.087
Ferrous metals,"Steel, extruded, machined",kg,Camshaft,1.705036E-03,icemotor,Steel,Utilitycars,2.1
Other,Tools,kg,Camshaft,1.127760E-05,icemotor,Steel,Utilitycars,0.01389
Ferrous metals,"Shavings, Steel, extruded, machined",kg,Camshaft,3.401953E-04,icemotor,Steel,Utilitycars,0.419
Ferrous metals,"Scrap, Steel, extruded, machined",kg,Camshaft,3.509127E-05,icemotor,Steel,Utilitycars,0.04322
Other,Emulsion,kg,Camshaft,5.756527E-04,icemotor,Emulsion,Utilitycars,0.709
Ferrous metals,"Steel, extruded",kg,"Intake valve, 4 pc.",1.924255E-04,icemotor,Steel,Utilitycars,0.237
Other,Tools,kg,"Intake valve, 4 pc.",3.222843E-04,icemotor,Steel,Utilitycars,0.39694
Ferrous metals,"Shavings, Steel, extruded, machined",kg,"Intake valve, 4 pc.",4.384379E-05,icemotor,Steel,Utilitycars,0.054
Ferrous metals,"Scrap, Steel, extruded, machined",kg,"Intake valve, 4 pc.",8.111100E-06,icemotor,Steel,Utilitycars,0.00999
Other,Emulsion,kg,"Intake valve, 4 pc.",1.115581E-03,icemotor,Emulsion,Utilitycars,1.374
Ferrous metals,"Fe, cast, machined",kg,"Hydraulic valve lifter, 8 pc",2.476362E-04,icemotor,Iron,Utilitycars,0.305
Other,Tools,kg,"Hydraulic valve lifter, 8 pc",2.914800E-06,icemotor,Steel,Utilitycars,0.00359
Ferrous metals,"Shavings, Fe, cast, machined",kg,"Hydraulic valve lifter, 8 pc",1.380267E-05,icemotor,Iron,Utilitycars,0.017
Ferrous metals,"Scrap, Fe, cast, machined",kg,"Hydraulic valve lifter, 8 pc",5.675334E-06,icemotor,Steel,Utilitycars,0.00699
Other,Emulsion,kg,"Hydraulic valve lifter, 8 pc",5.334327E-04,icemotor,Emulsion,Utilitycars,0.657
Non-ferrous metals,"Al, cast",kg,Block and other,1.607605E-04,icemotor,Aluminium,Utilitycars,0.198
Non-ferrous metals,"Al, cast, machined",kg,Block and other,1.517726E-02,icemotor,Aluminium,Utilitycars,18.693
Non-ferrous metals,"Al, no specification",kg,Block and other,9.970402E-04,icemotor,Aluminium,Utilitycars,1.228
Non-ferrous metals,"Al, rolled, stamped",kg,Block and other,1.380267E-03,icemotor,Aluminium,Utilitycars,1.7
Ferrous metals,"Fe, cast",kg,Block and other,1.234121E-04,icemotor,Iron,Utilitycars,0.152
Ferrous metals,"Fe, cast, machined",kg,Block and other,2.325182E-02,icemotor,Iron,Utilitycars,28.638
Ferrous metals,"Fe, forged, machined",kg,Block and other,1.163403E-02,icemotor,Iron,Utilitycars,14.329
Ferrous metals,"Steel, cast, heat treat",kg,Block and other,7.567113E-04,icemotor,Steel,Utilitycars,0.932
Ferrous metals,"Steel, cast, machined",kg,Block and other,6.170607E-03,icemotor,Steel,Utilitycars,7.6
Ferrous metals,"Steel, col rolled, stamped",kg,Block and other,3.491264E-03,icemotor,Steel,Utilitycars,4.3
Ferrous metals,"Steel, cold rolled",kg,Block and other,2.979754E-04,icemotor,Steel,Utilitycars,0.367
Ferrous metals,"Steel, extruded",kg,Block and other,1.929127E-03,icemotor,Steel,Utilitycars,2.376
Ferrous metals,"Steel, galvanized, stamped",kg,Block and other,2.192189E-03,icemotor,Steel,Utilitycars,2.7
Ferrous metals,"Steel, no specification",kg,Block and other,4.171655E-03,icemotor,Steel,Utilitycars,5.138
Ferrous metals,"Steel, other",kg,Block and other,2.192189E-03,icemotor,Steel,Utilitycars,2.7
Polymers,"Plastic, injection molded",kg,Block and other,9.743063E-04,icemotor,Plastic,Utilitycars,1.2
Polymers,"Rubber, injection molded",kg,Block and other,8.119220E-05,icemotor,Rubber,Utilitycars,0.1
Polymers,"Rubber, no specification",kg,Block and other,4.391759E-04,icemotor,Rubber,Utilitycars,0.540909
Polymers,"Rubber, other",kg,Block and other,8.119220E-05,icemotor,Rubber,Utilitycars,0.1
Other,"Other, other",kg,Block and other,4.871532E-04,icemotor,Plastic,Utilitycars,0.6
Other,Paint,kg,Paint/Paint shop,9.575322E-03,interior,Paint,Utilitycars,11.79340162
Polymers,"Polypropylene, 25% Fiberglass (PP-GF25)",kg,Under body finisher,7.031244E-04,interior,Polypropylene,Utilitycars,0.866
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Bumper covers (4),3.897225E-04,interior,Polypropylene,Utilitycars,0.48
Polymers,Polypropylene (PP),kg,Wheel arc closures (4),3.111285E-03,interior,Polypropylene,Utilitycars,3.832
Polymers,"Nylon 66, 30% Mineral powder (PA66-MD30)",kg,Road wheel finishers (4),1.331552E-04,interior,Nylon,Utilitycars,0.164
Polymers,Ethylene propylene diene monomer (EPDM-TD10),kg,Bumpers (2),4.116444E-03,interior,EPDM,Utilitycars,5.07
Polymers,Polypropylene (PP),kg,Bumpers (2),4.116444E-03,interior,Polypropylene,Utilitycars,5.07
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Rear lamps (2),7.347894E-04,interior,ABS,Utilitycars,0.905
Polymers,Polymethyl methacrylate (PMMA),kg,Rear lamps (2),7.347894E-04,interior,Polymethylmethacrylate,Utilitycars,0.905
Polymers,Acrylonitrile styrene acrylate (ASA),kg,Radiator Grille,2.240905E-04,interior,ASA,Utilitycars,0.276
Ferous metals,Steel (GREET),kg,"Other, exterior trim (GREET data)",3.483944E-04,interior,Steel,Utilitycars,0.429098382
Polymers,Rubber (GREET),kg,"Other, exterior trim (GREET data)",1.215329E-04,interior,Rubber,Utilitycars,0.149685482
Polymers,Rubber (GREET),kg,Sealers/deadeners,7.307298E-04,interior,Rubber,Utilitycars,0.9
Non-ferrous metals,Copper,kg,Exterior electrical (GREET data),3.321900E-03,interior,Copper,Utilitycars,4.091403177
Polymers,Other plastic (GREET),kg,Exterior electrical (GREET data),4.780295E-03,interior,Plastic,Utilitycars,5.887628963
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Centre console,4.741624E-04,interior,ABS,Utilitycars,0.584
Polymers,Polypropylene ether (PE),kg,Dashboard,3.004923E-03,interior,Polypropylene,Utilitycars,3.701
Polymers,Polystyrene (PS),kg,Dashboard,3.004923E-03,interior,Polystyrene,Utilitycars,3.701
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Glove Box,1.734265E-03,interior,ABS,Utilitycars,2.136
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Air Duct,1.932374E-04,interior,Polypropylene,Utilitycars,0.238
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Steering Column Finisher,7.307298E-05,interior,Polypropylene,Utilitycars,0.09
Ferous metals,Steel (GREET),kg,"Other, Instrument panel (GREET data)",8.978705E-03,interior,Steel,Utilitycars,11.05858198
Non-ferrous metals,Wrought Aluminium,kg,"Other, Instrument panel (GREET data)",1.951892E-04,interior,Aluminium,Utilitycars,0.240403956
Non-ferrous metals,Magnesium,kg,"Other, Instrument panel (GREET data)",1.951892E-04,interior,Magnesium,Utilitycars,0.240403956
Polymers,Rubber (GREET),kg,"Other, Instrument panel (GREET data)",1.951892E-04,interior,Rubber,Utilitycars,0.240403956
Polymers,Polypropylene ether (PE),kg,B post finishers (2),1.761871E-04,interior,Polypropylene,Utilitycars,0.217
Polymers,Polypropylene (PP),kg,B post finishers (2),1.761871E-04,interior,Polypropylene,Utilitycars,0.217
Polymers,Polypropylene ether (PE),kg,C post finishers (2),3.288284E-04,interior,Polypropylene,Utilitycars,0.405
Polymers,Polypropylene (PP),kg,C post finishers (2),3.288284E-04,interior,Polypropylene,Utilitycars,0.405
Polymers,Polypropylene ether (PE),kg,Sill finishers (2),3.288284E-04,interior,Polypropylene,Utilitycars,0.405
Polymers,Polypropylene (PP),kg,Sill finishers (2),3.288284E-04,interior,Polypropylene,Utilitycars,0.405
Polymers,Polypropylene ether (PE),kg,A post finishers (2),3.288284E-04,interior,Polypropylene,Utilitycars,0.405
Polymers,Polypropylene (PP),kg,A post finishers (2),3.288284E-04,interior,Polypropylene,Utilitycars,0.405
Ferous metals,Steel (GREET),kg,"Other, Trim and Insulation (GREET data)",5.323511E-03,interior,Steel,Utilitycars,6.556677708
Non-ferrous metals,Wrought Aluminium,kg,"Other, Trim and Insulation (GREET data)",1.804580E-05,interior,Aluminium,Utilitycars,0.022226026
Polymers,Other plastic (GREET),kg,"Other, Trim and Insulation (GREET data)",9.801432E-03,interior,Plastic,Utilitycars,12.07188956
Polymers,Other plastic (GREET),kg,"Doors, including trunk lid, interior plastics etc.",9.743063E-03,interior,Plastic,Utilitycars,12
Polymers,Polyurethane (polyether type) (PUR-E),kg,Squab pads,2.840915E-03,interior,Polyurethane,Utilitycars,3.499
Polymers,Polyurethane (polyether type) (PUR-E),kg,Cushion pads,4.403053E-03,interior,Polyurethane,Utilitycars,5.423
Polymers,Polyethylene terephthalate (PET),kg,Seat Belts (2),3.069065E-04,interior,PET,Utilitycars,0.378
Polymers,Nylon 6 (PA6),kg,Height Controls (2),2.159712E-04,interior,Nylon,Utilitycars,0.266
Polymers,Polyurethane (polyether type) (PUR-E),kg,Head Rest Pads (4),4.027133E-04,interior,Polyurethane,Utilitycars,0.496
Ferous metals,Steel (GREET),kg,"Other, Seating and restraint (GREET data)",2.819564E-02,interior,Steel,Utilitycars,34.72703185
Polymers,Other plastic (GREET),kg,"Other, Seating and restraint (GREET data)",1.224797E-02,interior,Plastic,Utilitycars,15.08516099
Ferous metals,Rolled steel (MUSES),kg,HVAC (GREET),5.033916E-03,interior,Steel,Utilitycars,6.2
Ferous metals,EAF steel (MUSES),kg,HVAC (GREET),8.119220E-05,interior,Steel,Utilitycars,0.1
Ferous metals,Galvanized steel (MUSES),kg,HVAC (GREET),4.303186E-03,interior,Steel,Utilitycars,5.3
Ferous metals,Stainless steel (MUSES),kg,HVAC (GREET),9.743063E-04,interior,Steel,Utilitycars,1.2
Non-ferrous metals,Cast Aluminium,kg,HVAC (GREET),4.303186E-03,interior,Aluminium,Utilitycars,5.3
Non-ferrous metals,Extruded aluminum (MUSES),kg,HVAC (GREET),9.743063E-03,interior,Aluminium,Utilitycars,12
