Vehicle,Perioden,Count,Onderwerp,Lifespan
Bagger schip,1995,10,8282562,15.1
Bagger schip,1996,12,8282562,15.1
Bagger schip,1997,11,8282562,15.1
Bagger schip,1998,10,8282562,15.1
Bagger schip,1999,9,8282562,15.1
Bagger schip,2000,9,8282562,15.1
Bagger schip,2001,10,8282562,15.1
Bagger schip,2002,10,8282562,15.1
Bagger schip,2003,11,8282562,15.1
Bagger schip,2004,11,8282562,15.1
Bagger schip,2005,10,8282562,15.1
Bagger schip,2006,10,8282562,15.1
Bagger schip,2007,7,8282562,15.1
Bagger schip,2008,9,8282562,15.1
Bagger schip,2009,21,8282562,15.1
Bagger schip,2010,23,8282562,15.1
Bagger schip,2011,20,8282562,15.1
Bagger schip,2012,19,8282562,15.1
Bagger schip,2013,20,8282562,15.1
Bagger schip,2014,20,8282562,15.1
Bagger schip,2015,24,8282562,15.1
Bagger schip,2016,25,8282562,15.1
Bagger schip,2017,25,8282562,15.1
Bagger schip,2018,23,8282562,15.1
Bergings schip,1995,6,157714,15.0
Bergings schip,1996,6,157714,15.0
Bergings schip,1997,6,157714,15.0
Bergings schip,1998,6,157714,15.0
Bergings schip,1999,5,157714,15.0
Bergings schip,2000,5,157714,15.0
Bergings schip,2001,5,157714,15.0
Bergings schip,2002,5,157714,15.0
Bergings schip,2003,3,157714,15.0
Bergings schip,2004,6,157714,15.0
Bergings schip,2005,6,157714,15.0
Bergings schip,2006,5,157714,15.0
Bergings schip,2007,4,157714,15.0
Bergings schip,2008,3,157714,15.0
Bergings schip,2009,3,157714,15.0
Bergings schip,2010,3,157714,15.0
Bergings schip,2011,1,157714,15.0
Bevoorradings schip,1995,27,3213134,17.2
Bevoorradings schip,1996,23,3213134,17.2
Bevoorradings schip,1997,23,3213134,17.2
Bevoorradings schip,1998,21,3213134,17.2
Bevoorradings schip,1999,18,3213134,17.2
Bevoorradings schip,2000,15,3213134,17.2
Bevoorradings schip,2001,15,3213134,17.2
Bevoorradings schip,2002,13,3213134,17.2
Bevoorradings schip,2003,11,3213134,17.2
Bevoorradings schip,2004,11,3213134,17.2
Bevoorradings schip,2005,12,3213134,17.2
Bevoorradings schip,2006,13,3213134,17.2
Bevoorradings schip,2007,13,3213134,17.2
Bevoorradings schip,2008,13,3213134,17.2
Bevoorradings schip,2009,13,3213134,17.2
Bevoorradings schip,2010,14,3213134,17.2
Bevoorradings schip,2011,14,3213134,17.2
Bevoorradings schip,2012,14,3213134,17.2
Bevoorradings schip,2013,11,3213134,17.2
Bevoorradings schip,2014,11,3213134,17.2
Bevoorradings schip,2015,13,3213134,17.2
Bevoorradings schip,2016,14,3213134,17.2
Bevoorradings schip,2017,11,3213134,17.2
Bevoorradings schip,2018,12,3213134,17.2
Boorvaartuig,1995,5,8430080,28.0
Boorvaartuig,2000,1,8430080,28.0
Boorvaartuig,2001,1,8430080,28.0
Boorvaartuig,2002,1,8430080,28.0
Boorvaartuig,2003,1,8430080,28.0
Boorvaartuig,2004,1,8430080,28.0
Boorvaartuig,2005,1,8430080,28.0
Boorvaartuig,2006,1,8430080,28.0
Boorvaartuig,2007,1,8430080,28.0
Bruine vloot,2007,68,204724,73.6
Bruine vloot,2008,31,204724,73.6
Bruine vloot,2009,34,204724,73.6
Bruine vloot,2010,33,204724,73.6
Bruine vloot,2011,64,204724,73.6
Bruine vloot,2018,38,204724,73.6
Bulk Carrier,2012,6,12974839,19.7
Bulk Carrier,2013,5,12974839,19.7
Bulk Carrier,2014,5,12974839,19.7
Bulk Carrier,2015,4,12974839,19.7
Bulk Carrier,2016,3,12974839,19.7
Bulk Carrier,2017,3,12974839,19.7
Bulk Carrier,2018,1,12974839,19.7
Container schip,1995,31,29602381,9.0
Container schip,1996,38,29602381,9.0
Container schip,1997,43,29602381,9.0
Container schip,1998,54,29602381,9.0
Container schip,1999,62,29602381,9.0
Container schip,2000,64,29602381,9.0
Container schip,2001,66,29602381,9.0
Container schip,2002,65,29602381,9.0
Container schip,2003,75,29602381,9.0
Container schip,2004,70,29602381,9.0
Container schip,2005,70,29602381,9.0
Container schip,2006,82,29602381,9.0
Container schip,2007,88,29602381,9.0
Container schip,2008,94,29602381,9.0
Container schip,2009,106,29602381,9.0
Container schip,2010,99,29602381,9.0
Container schip,2011,103,29602381,9.0
Container schip,2012,99,29602381,9.0
Container schip,2013,93,29602381,9.0
Container schip,2014,88,29602381,9.0
Container schip,2015,87,29602381,9.0
Container schip,2016,79,29602381,9.0
Container schip,2017,84,29602381,9.0
Container schip,2018,85,29602381,9.0
Cruise schip,1996,7,55820857,17.1
Cruise schip,1997,7,55820857,17.1
Cruise schip,1998,7,55820857,17.1
Cruise schip,1999,8,55820857,17.1
Cruise schip,2000,10,55820857,17.1
Cruise schip,2001,10,55820857,17.1
Cruise schip,2002,9,55820857,17.1
Cruise schip,2003,11,55820857,17.1
Cruise schip,2004,13,55820857,17.1
Cruise schip,2005,14,55820857,17.1
Cruise schip,2006,17,55820857,17.1
Cruise schip,2007,16,55820857,17.1
Cruise schip,2008,19,55820857,17.1
Cruise schip,2009,20,55820857,17.1
Cruise schip,2010,20,55820857,17.1
Cruise schip,2011,19,55820857,17.1
Cruise schip,2012,24,55820857,17.1
Cruise schip,2013,23,55820857,17.1
Cruise schip,2014,22,55820857,17.1
Cruise schip,2015,25,55820857,17.1
Cruise schip,2016,27,55820857,17.1
Cruise schip,2017,25,55820857,17.1
Cruise schip,2018,31,55820857,17.1
Gas tanker,1995,12,9977229,9.4
Gas tanker,1996,14,9977229,9.4
Gas tanker,1997,16,9977229,9.4
Gas tanker,1998,16,9977229,9.4
Gas tanker,1999,15,9977229,9.4
Gas tanker,2000,16,9977229,9.4
Gas tanker,2001,13,9977229,9.4
Gas tanker,2002,13,9977229,9.4
Gas tanker,2003,13,9977229,9.4
Gas tanker,2004,13,9977229,9.4
Gas tanker,2005,12,9977229,9.4
Gas tanker,2006,12,9977229,9.4
Gas tanker,2007,14,9977229,9.4
Gas tanker,2008,15,9977229,9.4
Gas tanker,2009,15,9977229,9.4
Gas tanker,2010,16,9977229,9.4
Gas tanker,2011,21,9977229,9.4
Gas tanker,2012,26,9977229,9.4
Gas tanker,2013,27,9977229,9.4
Gas tanker,2014,28,9977229,9.4
Gas tanker,2015,26,9977229,9.4
Gas tanker,2016,31,9977229,9.4
Gas tanker,2017,31,9977229,9.4
Gas tanker,2018,32,9977229,9.4
Koel schip,1995,14,22970800,16.9
Koel schip,1996,15,22970800,16.9
Koel schip,1997,28,22970800,16.9
Koel schip,1998,29,22970800,16.9
Koel schip,1999,30,22970800,16.9
Koel schip,2000,28,22970800,16.9
Koel schip,2001,29,22970800,16.9
Koel schip,2002,27,22970800,16.9
Koel schip,2003,29,22970800,16.9
Koel schip,2004,27,22970800,16.9
Koel schip,2005,26,22970800,16.9
Koel schip,2006,14,22970800,16.9
Koel schip,2007,10,22970800,16.9
Koel schip,2008,9,22970800,16.9
Koel schip,2009,10,22970800,16.9
Koel schip,2010,9,22970800,16.9
Koel schip,2011,9,22970800,16.9
Koel schip,2012,9,22970800,16.9
Koel schip,2013,8,22970800,16.9
Koel schip,2014,8,22970800,16.9
Koel schip,2015,9,22970800,16.9
Koel schip,2016,9,22970800,16.9
Koel schip,2017,7,22970800,16.9
Koel schip,2018,4,22970800,16.9
Kust en zeesleepboot,1995,58,1299670,16.4
Kust en zeesleepboot,1996,65,1299670,16.4
Kust en zeesleepboot,1997,70,1299670,16.4
Kust en zeesleepboot,1998,74,1299670,16.4
Kust en zeesleepboot,1999,83,1299670,16.4
Kust en zeesleepboot,2000,85,1299670,16.4
Kust en zeesleepboot,2001,93,1299670,16.4
Kust en zeesleepboot,2002,99,1299670,16.4
Kust en zeesleepboot,2003,92,1299670,16.4
Kust en zeesleepboot,2004,91,1299670,16.4
Kust en zeesleepboot,2005,92,1299670,16.4
Kust en zeesleepboot,2006,103,1299670,16.4
Kust en zeesleepboot,2007,132,1299670,16.4
Kust en zeesleepboot,2008,148,1299670,16.4
Kust en zeesleepboot,2009,150,1299670,16.4
Kust en zeesleepboot,2010,153,1299670,16.4
Kust en zeesleepboot,2011,129,1299670,16.4
Kust en zeesleepboot,2012,129,1299670,16.4
Kust en zeesleepboot,2013,143,1299670,16.4
Kust en zeesleepboot,2014,136,1299670,16.4
Kust en zeesleepboot,2015,178,1299670,16.4
Kust en zeesleepboot,2016,182,1299670,16.4
Kust en zeesleepboot,2017,182,1299670,16.4
Kust en zeesleepboot,2018,155,1299670,16.4
Meet- en peil vaartuig,1995,5,534610,22.6
Meet- en peil vaartuig,1996,5,534610,22.6
Meet- en peil vaartuig,1997,6,534610,22.6
Meet- en peil vaartuig,1998,6,534610,22.6
Meet- en peil vaartuig,1999,5,534610,22.6
Meet- en peil vaartuig,2000,5,534610,22.6
Meet- en peil vaartuig,2001,5,534610,22.6
Meet- en peil vaartuig,2002,8,534610,22.6
Meet- en peil vaartuig,2003,7,534610,22.6
Meet- en peil vaartuig,2004,8,534610,22.6
