Year,Total,Driving,Fiets,Lopen,Trein,Bus/tram/metro,Luchtvaart
2000,182.5,137.0,15.0,3.5,15.2,,46.5
2005,182.5,137.0,15.0,3.5,15.2,,46.5
2010,183.5,136.5,15.5,3.5,17.1,6.7,48.6
2011,185.5,138.0,16.0,3.5,17.6,7.0,53.9
2012,185.5,138.0,16.0,3.5,17.9,,55.7
2013,185.5,137.0,16.0,3.5,18.0,,58.0
2014,186.0,137.5,16.0,4.0,18.1,5.2,60.9
2015,186.5,137.5,16.5,4.0,18.5,5.4,64.6
2016,188.0,138.0,16.5,4.0,18.9,5.5,70.3
2017,188.5,138.0,16.5,4.0,19.0,,76.2
2030,230.0,173.4,17.9,3.9,23.2,7.8,104.0
2050,256.0,198.5,18.7,4.1,25.0,8.4,161.1
