Type,Share,kg
Boorvaartuig,1.3671E-03, 8430080
Overig,6.1519E-03, 3260956
Bulk Carrier,3.6506E-03, 10730214
Bergings schip,4.3425E-03, 157714
Veer schip,5.7181E-03, 106150194
Steen storter schip,8.2814E-03, 19436705
Meet- en peil vaartuig,9.0701E-03, 461304
Ro-Ro Vessel,1.1949E-02, 45800366
Zuiger schip,1.3842E-02, 2390364
Bevoorradings schip,1.3999E-02, 2932991
Bagger schip,1.4157E-02, 13007890
Zware lading schip,1.4867E-02, 24437785
Cruise schip,1.5802E-02, 63506483
Koel schip,1.5656E-02, 24392097
Offshore support vessel,1.6129E-02, 3713472
Gas tanker,1.7628E-02, 7855481
Werk schip,3.5728E-02, 900427
Snijkop zuiger,2.0033E-02, 3446752
Splijtbak - Omnibarge,2.0743E-02, 1805850
Olie-chemicalien tanker,4.7756E-02, 22876332
Sleephopper zuiger,5.3947E-02, 17617133
Transport ponton,5.6156E-02, 3739041
Container schip,7.1969E-02, 33371266
Kust en zeesleepboot,1.1129E-01, 1248151
Multi purpose vessel,4.0977E-01, 10730214
