Material Group	Material/Component	Unit	Crankcase	Crankshaft	Flywheel	Ring gear	Connecting rod, 4 pc.	Cylinder head	Camshaft	Intake valve, 4 pc.	Hydraulic valve lifter, 8 pc	Base engine assembly	Block and other
Non-ferrous metals	Al, cast	kg	0	0	0	0	0	0	0	0	0	0	0.198
Non-ferrous metals	Al, cast, machined	kg	0	0	0	0	0	8.007	0	0	0	0	18.693
Non-ferrous metals	Al, no specification	kg	0	0	0	0	0	0	0	0	0	0	1.228
Non-ferrous metals	Al, rolled, stamped	kg	0	0	0	0	0	0	0	0	0	0	1.7
Ferrous metals	Fe, cast	kg	0	0	0	0	0	0	0	0	0	0	0.152
Ferrous metals	Fe, cast, machined	kg	29.73	0	6.347	0	1.49	0	0	0	0.305	0	28.638
Ferrous metals	Fe, forged, machined	kg	0	8.271	0	0	0	0	0	0	0	0	14.329
Ferrous metals	Steel, cast, heat treat	kg	0	0	0	0.505	0	0	0	0	0	0	0.932
Ferrous metals	Steel, cast, machined	kg	0	0	0	0	0	0	0	0	0	0	7.6
Ferrous metals	Steel, col rolled, stamped	kg	0	0	0	0	0	0	0	0	0	0	4.3
Ferrous metals	Steel, cold rolled	kg	0	0	0	0	0	0	0	0	0	0	0.367
Ferrous metals	Steel, extruded	kg	0	0	0	0	0	0	0.087	0.237	0	0	2.376
Ferrous metals	Steel, extruded, machined	kg	0	0	0	0	0	0	2.1	0	0	0	0
Ferrous metals	Steel, galvanized, stamped	kg	0	0	0	0	0	0	0	0	0	0	2.7
Ferrous metals	Steel, no specification	kg	0	0	0	0	0	0	0	0	0	0	5.138
Ferrous metals	Steel, other	kg	0	0	0	0	0	0	0	0	0	0	2.7
Polymers	Plastic, injection molded	kg	0	0	0	0	0	0	0	0	0	0	1.2
Polymers	Rubber, injection molded	kg	0	0	0	0	0	0	0	0	0	0	0.1
Polymers	Rubber, no specification	kg	0	0	0	0	0	0	0	0	0	0	0.540909
Polymers	Rubber, other	kg	0	0	0	0	0	0	0	0	0	0	0.1
Other	Other, other	kg	0	0	0	0	0	0	0	0	0	0	0.6
Other	Tools	kg	0.0015	0.03829	0.00134	0.01335	0.00573	0.00045	0.01389	0.39694	0.00359	0	0
Ferrous metals	Shavings, Fe, cast, machined	kg	4.768	0	1.177	0	0.779	0	0	0	0.017	0	0
Ferrous metals	Shavings, Fe, forged, machined	kg	0	1.368	0	0	0	0	0	0	0	0	0
Ferrous metals	Shavings, Steel, cast, heat treated	kg	0	0	0	0.246	0	0	0	0	0	0	0
Non-ferrous metals	Shavings, Al, cast, machined	kg	0	0	0	0	0	1.989	0	0	0	0	0
Ferrous metals	Shavings, Steel, extruded, machined	kg	0	0	0	0	0	0	0.419	0.054	0	0	0
Ferrous metals	Scrap, Fe, cast, machined	kg	0.247	0	0.015	0	0.01763	0	0	0	0.00699	0	0
Ferrous metals	Scrap, Fe, forged, machined	kg	0	0.05446	0	0	0	0	0	0	0	0	0
Ferrous metals	Scrap, Steel, cast, heat treated	kg	0	0	0	0.00322	0	0	0	0	0	0	0
Non-ferrous metals	Scrap, Al, cast, machined	kg	0	0	0	0	0	0.00094	0	0	0	0	0
Ferrous metals	Scrap, Steel, extruded, machined	kg	0	0	0	0	0	0	0.04322	0.00999	0	0	0
Other	Emulsion	kg	0.593	1.113	0.934	0.67	0.904	0.887	0.709	1.374	0.657	0	0
