Material Group	Material/Component	Unit	Paint/Paint shop	Under body finisher	Bumper covers (4)	Wheel arc closures (4)	Road wheel finishers (4)	Bumpers (2)	Rear lamps (2)	Radiator Grille	Other, exterior trim (GREET data)	Sealers/deadeners	Exterior electrical (GREET data)	Assembly and processing of synthetic pieces	Assembly and processing of trim pieces	Centre console	Dashboard	Glove Box	Air Duct	Steering Column Finisher	Other, Instrument panel (GREET data)	B post finishers (2)	C post finishers (2)	Sill finishers (2)	A post finishers (2)	Other, Trim and Insulation (GREET data)	Doors, including trunk lid, interior plastics etc.	Assembly, doors and cockpit	Squab pads	Cushion pads	Seat Belts (2)	Height Controls (2)	Head Rest Pads (4)	Other, Seating and restraint (GREET data)	Assembly, seats	HVAC (GREET)	Interior electrical (GREET)	Weld blanks and fasteners (interior to body) (GREET)	Engine Finisher	Wash Fluid Tank	Steering Oil Tank	Brake Fluid Tank	Wheel Arc Finisher	Load Space Finishers (2)	Latch Finisher	Tool Box
Ferous metals	Cast iron (GREET/MUSES)	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferous metals	Steel (GREET)	kg	0	0	0	0	0	0	0	0	0.429098382	0	0	0	0	0	0	0	0	0	11.05858198	0	0	0	0	6.556677708	0	0	0	0	0	0	0	34.72703185	0	0	0	4.98951607	0	0	0	0	0	0	0	0
Ferous metals	Rolled steel (MUSES)	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0	0	0	0	0	0	0	0
Ferous metals	EAF steel (MUSES)	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
Ferous metals	Galvanized steel (MUSES)	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0
Ferous metals	Hot rolled steel (MUSES)	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferous metals	Stainless steel (MUSES)	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0
Non-ferrous metals	Wrought Aluminium	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240403956	0	0	0	0	0.022226026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non-ferrous metals	Cast Aluminium	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0
Non-ferrous metals	Extruded aluminum (MUSES)	kg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
