Vehicle	Aantal	Totalmass	Steel	Polyester	Wood
Wedstrijdzeilboten	5000	200		0.8	0.2
Exwedstrijdzeilboten	17000	250		0.7	0.3
Opencatamarans	1200	150		1	
Overigecatamarans	300	150		1	
Zwaardboten	1000	100		1	
Kleinezeilboten	20000	100		0.95	0.05
Roeiboten	6500	100		0.8	0.2
Kanos	20000	30		0.1	
Overigekanos	10000	35		0.85	0.15
Snellemotorboten	30000	1000		1	
Binnenwatervisboten	30000	500	0.05	0.95	
Buitenwatervisboten	5000	750	0.05	0.95	
Jetskis	3000	200		1	
Overigemotorboten	30000	200	0.02	0.95	0.03
Surfplanken	31300	20		1	
